108
t_index  tf-idf
30     0.001
108     0.145
200     0.074
292     0.077
307     0.06
428     0.072
465     0.103
568     0.112
588     0.081
625     0.075
702     0.112
735     0.101
741     0.101
757     0.056
777     0.101
848     0.084
959     0.095
1002     0.112
1006     0.129
1069     0.059
1081     0.041
1112     0.054
1161     0.052
1416     0.058
1424     0.063
1439     0.063
1478     0.077
1512     0.084
1528     0.095
1537     0.095
1565     0.101
1590     0.046
1597     0.117
1608     0.052
1625     0.129
1670     0.063
1682     0.101
1691     0.101
1696     0.095
1742     0.081
1755     0.095
1772     0.071
1807     0.084
1843     0.058
1870     0.09
1873     0.079
1876     0.078
1894     0.047
1978     0.084
1993     0.066
2000     0.061
2040     0.057
2056     0.067
2090     0.087
2099     0.243
2103     0.09
2195     0.087
2202     0.058
2288     0.101
2308     0.112
2309     0.19
2369     0.075
2388     0.125
2456     0.058
2478     0.055
2506     0.089
2518     0.023
2521     0.043
2523     0.079
2570     0.303
2636     0.081
2637     0.095
2714     0.044
2841     0.101
2885     0.078
2927     0.057
2981     0.123
3026     0.071
3033     0.112
3081     0.082
3181     0.071
3206     0.079
3217     0.058
3222     0.063
3283     0.09
3317     0.059
3379     0.316
3381     0.081
3387     0.101
3396     0.084
3398     0.167
3400     0.084
3414     0.046
3432     0.036
3438     0.068
3447     0.044
3490     0.052
3523     0.101
3528     0.036
3563     0.048
3634     0.062
3640     0.058
3667     0.068
3676     0.095
3770     0.07
3777     0.058
3782     0.095
3785     0.112
