258
t_index  tf-idf
27     0.0
39     0.058
74     0.028
81     0.024
100     0.029
103     0.033
111     0.048
122     0.053
124     0.027
145     0.025
158     0.037
172     0.037
191     0.025
200     0.027
201     0.022
211     0.041
221     0.031
229     0.027
250     0.041
251     0.033
255     0.077
296     0.029
307     0.022
309     0.071
315     0.041
319     0.033
330     0.031
385     0.082
423     0.035
436     0.04
437     0.035
465     0.019
471     0.021
475     0.021
500     0.028
513     0.033
518     0.058
523     0.025
546     0.023
600     0.098
611     0.091
613     0.021
661     0.023
664     0.025
665     0.037
671     0.032
698     0.041
719     0.041
757     0.02
764     0.104
796     0.035
848     0.031
866     0.027
893     0.02
926     0.03
931     0.035
935     0.033
939     0.035
940     0.041
1011     0.03
1033     0.037
1052     0.023
1053     0.033
1055     0.053
1065     0.037
1069     0.022
1070     0.037
1081     0.015
1105     0.035
1111     0.061
1137     0.032
1156     0.063
1161     0.019
1183     0.035
1201     0.031
1290     0.065
1307     0.032
1311     0.037
1336     0.07
1338     0.025
1344     0.041
1406     0.037
1420     0.021
1424     0.116
1454     0.018
1477     0.027
1512     0.031
1517     0.035
1525     0.035
1528     0.173
1534     0.058
1565     0.074
1597     0.021
1608     0.019
1610     0.071
1649     0.035
1650     0.041
1661     0.031
1670     0.023
1679     0.028
1712     0.025
1720     0.041
1721     0.065
1724     0.031
1745     0.025
1807     0.031
1835     0.026
1843     0.042
1876     0.043
1880     0.026
1899     0.022
1900     0.026
1921     0.069
1983     0.042
1984     0.03
1993     0.024
1994     0.094
2016     0.037
2040     0.021
2051     0.037
2066     0.037
2085     0.023
2087     0.041
2090     0.063
2095     0.094
2099     0.104
2138     0.066
2165     0.026
2183     0.033
2193     0.02
2200     0.024
2204     0.022
2205     0.035
2210     0.031
2226     0.023
2253     0.028
2282     0.095
2283     0.037
2284     0.095
2286     0.033
2298     0.074
2303     0.017
2306     0.032
2321     0.05
2324     0.027
2337     0.026
2352     0.037
2384     0.024
2388     0.023
2389     0.025
2390     0.041
2391     0.037
2394     0.041
2413     0.054
2421     0.105
2454     0.025
2474     0.05
2478     0.02
2484     0.019
2491     0.055
2496     0.023
2503     0.033
2516     0.037
2518     0.025
2521     0.032
2523     0.029
2538     0.037
2543     0.037
2556     0.027
2570     0.044
2586     0.055
2597     0.029
2634     0.023
2648     0.041
2655     0.037
2678     0.03
2718     0.021
2738     0.024
2749     0.041
2785     0.028
2787     0.035
2813     0.037
2821     0.033
2835     0.021
2846     0.02
2854     0.037
2857     0.107
2873     0.061
2875     0.041
2885     0.014
2927     0.021
2930     0.057
2933     0.024
2938     0.032
2950     0.078
2960     0.102
2981     0.022
2996     0.032
2998     0.123
3081     0.015
3116     0.033
3132     0.032
3134     0.029
3139     0.033
3151     0.123
3177     0.031
3181     0.039
3194     0.05
3201     0.021
3218     0.037
3274     0.063
3317     0.065
3318     0.032
3321     0.026
3351     0.031
3352     0.053
3379     0.52
3381     0.059
3386     0.061
3387     0.074
3414     0.102
3449     0.024
3464     0.028
3481     0.037
3490     0.019
3494     0.041
3501     0.032
3514     0.041
3520     0.022
3528     0.013
3559     0.041
3563     0.035
3564     0.031
3581     0.041
3582     0.061
3589     0.022
3607     0.037
3614     0.027
3628     0.025
3629     0.058
3638     0.026
3640     0.021
3643     0.025
3644     0.031
3649     0.411
3663     0.023
3667     0.025
3670     0.02
3677     0.044
3692     0.028
3707     0.104
3723     0.027
3731     0.029
3740     0.044
3749     0.154
3764     0.016
3777     0.021
3778     0.016
