273
t_index  tf-idf
10     0.0
16     0.023
19     0.022
25     0.023
31     0.029
33     0.026
96     0.05
111     0.119
117     0.028
145     0.021
149     0.018
164     0.026
165     0.022
167     0.034
200     0.023
253     0.023
255     0.016
280     0.021
307     0.073
319     0.028
342     0.026
353     0.097
440     0.031
450     0.025
456     0.055
465     0.032
467     0.02
471     0.018
522     0.045
584     0.017
600     0.061
625     0.023
645     0.034
661     0.039
664     0.021
667     0.062
688     0.022
706     0.034
718     0.024
722     0.025
730     0.016
753     0.028
757     0.034
759     0.031
760     0.034
761     0.031
770     0.016
797     0.026
827     0.034
865     0.024
869     0.034
876     0.018
890     0.021
893     0.017
895     0.047
912     0.02
917     0.026
938     0.069
952     0.031
964     0.029
968     0.031
1006     0.02
1041     0.018
1042     0.024
1081     0.088
1083     0.05
1094     0.028
1148     0.069
1161     0.032
1171     0.044
1190     0.019
1217     0.022
1218     0.031
1256     0.044
1281     0.018
1290     0.027
1332     0.017
1336     0.015
1346     0.015
1365     0.087
1389     0.034
1400     0.026
1409     0.026
1410     0.031
1416     0.018
1421     0.031
1432     0.045
1454     0.089
1477     0.022
1512     0.026
1522     0.031
1528     0.203
1529     0.04
1532     0.029
1533     0.026
1534     0.024
1556     0.019
1560     0.031
1565     0.124
1590     0.014
1621     0.029
1625     0.02
1670     0.019
1675     0.024
1676     0.029
1679     0.023
1680     0.015
1685     0.069
1691     0.031
1713     0.028
1721     0.018
1729     0.026
1731     0.069
1745     0.021
1786     0.031
1839     0.034
1843     0.088
1870     0.028
1894     0.029
1898     0.05
1925     0.017
1946     0.024
1988     0.06
1993     0.02
1994     0.02
2012     0.024
2017     0.023
2030     0.02
2040     0.018
2048     0.044
2051     0.093
2095     0.031
2099     0.099
2126     0.034
2137     0.014
2144     0.014
2154     0.018
2183     0.028
2189     0.024
2197     0.028
2204     0.019
2206     0.023
2220     0.013
2224     0.041
2225     0.029
2244     0.062
2247     0.031
2264     0.021
2284     0.045
2298     0.025
2305     0.021
2309     0.131
2311     0.031
2314     0.05
2316     0.165
2322     0.034
2324     0.023
2390     0.034
2421     0.037
2478     0.186
2484     0.016
2485     0.026
2486     0.034
2487     0.026
2495     0.031
2496     0.019
2499     0.029
2506     0.014
2518     0.014
2522     0.051
2527     0.025
2536     0.031
2556     0.023
2564     0.026
2570     0.056
2571     0.031
2585     0.051
2587     0.021
2597     0.024
2608     0.062
2616     0.046
2636     0.025
2669     0.034
2674     0.062
2678     0.025
2694     0.034
2706     0.074
2714     0.054
2732     0.029
2742     0.066
2755     0.028
2778     0.024
2781     0.029
2794     0.028
2795     0.058
2827     0.02
2835     0.018
2839     0.019
2841     0.062
2850     0.034
2851     0.028
2857     0.07
2885     0.048
2924     0.04
2933     0.02
2960     0.043
2961     0.023
3007     0.016
3033     0.034
3036     0.024
3039     0.026
3046     0.034
3081     0.013
3088     0.02
3125     0.041
3134     0.121
3160     0.048
3166     0.034
3181     0.076
3182     0.051
3184     0.024
3204     0.028
3206     0.024
3222     0.097
3235     0.087
3247     0.028
3257     0.024
3265     0.014
3274     0.018
3318     0.026
3352     0.066
3379     0.531
3381     0.05
3398     0.017
3400     0.026
3411     0.034
3414     0.014
3438     0.021
3459     0.028
3464     0.023
3466     0.092
3468     0.034
3471     0.028
3485     0.026
3490     0.032
3503     0.026
3511     0.028
3520     0.036
3528     0.022
3563     0.015
3585     0.022
3589     0.018
3591     0.028
3618     0.038
3629     0.024
3635     0.021
3639     0.031
3640     0.018
3643     0.145
3645     0.029
3649     0.412
3662     0.021
3667     0.021
3677     0.019
3687     0.015
3696     0.021
3699     0.039
3722     0.029
3731     0.024
3740     0.037
3749     0.037
3777     0.053
3785     0.034
