53
t_index  tf-idf
40     0.002
89     0.209
111     0.086
215     0.125
228     0.097
280     0.179
640     0.038
696     0.125
703     0.094
730     0.071
788     0.119
1068     0.114
1135     0.11
1271     0.125
1332     0.074
1336     0.126
1416     0.076
1432     0.098
1439     0.083
1446     0.125
1489     0.087
1528     0.125
1569     0.238
1570     0.204
1692     0.094
1712     0.091
1729     0.057
1915     0.134
1958     0.079
1989     0.148
2165     0.094
2183     0.119
2420     0.149
2435     0.134
2496     0.084
2642     0.134
2653     0.098
2885     0.104
3046     0.148
3136     0.229
3185     0.297
3201     0.075
3379     0.313
3386     0.11
3397     0.119
3398     0.074
3399     0.321
3409     0.125
3528     0.048
3587     0.072
3590     0.042
3649     0.148
3767     0.051
