241
t_index  tf-idf
8     0.0
33     0.026
34     0.017
48     0.033
65     0.033
72     0.03
76     0.039
103     0.027
107     0.033
124     0.021
198     0.062
201     0.036
228     0.022
243     0.016
246     0.033
309     0.019
328     0.024
347     0.019
362     0.024
364     0.122
374     0.011
467     0.019
472     0.03
497     0.052
561     0.065
593     0.033
595     0.027
618     0.033
640     0.052
671     0.026
696     0.056
701     0.033
726     0.033
789     0.033
792     0.055
831     0.018
848     0.062
867     0.133
869     0.033
906     0.023
914     0.014
923     0.022
935     0.027
944     0.028
991     0.066
1040     0.033
1069     0.018
1084     0.053
1121     0.066
1127     0.022
1161     0.015
1165     0.027
1190     0.018
1198     0.029
1199     0.03
1224     0.021
1232     0.138
1286     0.033
1290     0.026
1310     0.028
1317     0.027
1322     0.027
1332     0.017
1333     0.028
1351     0.016
1357     0.033
1377     0.038
1378     0.027
1380     0.03
1387     0.026
1424     0.019
1431     0.025
1463     0.12
1497     0.06
1509     0.025
1511     0.047
1512     0.025
1528     0.587
1533     0.025
1534     0.023
1556     0.018
1565     0.12
1588     0.021
1590     0.054
1591     0.06
1602     0.022
1608     0.031
1670     0.019
1695     0.016
1720     0.033
1745     0.041
1778     0.056
1781     0.03
1807     0.025
1808     0.027
1823     0.011
1835     0.021
1876     0.023
1905     0.033
1918     0.028
1925     0.017
1933     0.07
1941     0.063
1946     0.023
1951     0.019
1958     0.018
1965     0.03
1967     0.056
1994     0.019
2002     0.028
2005     0.017
2034     0.033
2048     0.021
2061     0.07
2064     0.016
2070     0.09
2090     0.026
2095     0.015
2110     0.02
2127     0.024
2135     0.021
2151     0.062
2158     0.053
2165     0.021
2200     0.039
2201     0.038
2204     0.036
2219     0.025
2232     0.035
2254     0.051
2266     0.033
2283     0.029
2284     0.022
2298     0.048
2302     0.025
2305     0.041
2321     0.061
2400     0.043
2406     0.066
2420     0.017
2457     0.035
2460     0.022
2506     0.013
2510     0.028
2527     0.024
2572     0.033
2577     0.033
2578     0.083
2595     0.019
2621     0.033
2623     0.033
2634     0.019
2640     0.053
2652     0.023
2702     0.025
2721     0.03
2722     0.035
2737     0.027
2738     0.019
2753     0.018
2754     0.033
2759     0.02
2771     0.028
2825     0.033
2835     0.017
2855     0.051
2857     0.106
2859     0.033
2860     0.081
2883     0.149
2884     0.026
2927     0.017
2930     0.015
2934     0.023
2935     0.03
2950     0.021
2955     0.033
2974     0.019
2981     0.072
2998     0.1
3000     0.03
3007     0.075
3009     0.102
3024     0.03
3067     0.033
3069     0.033
3074     0.1
3092     0.024
3115     0.042
3132     0.026
3134     0.023
3135     0.03
3144     0.023
3182     0.025
3184     0.023
3191     0.033
3194     0.02
3201     0.033
3208     0.016
3255     0.03
3258     0.037
3274     0.034
3317     0.018
3332     0.033
3379     0.21
3381     0.024
3385     0.026
3395     0.066
3401     0.048
3408     0.03
3410     0.033
3422     0.014
3432     0.011
3434     0.025
3438     0.04
3451     0.015
3455     0.025
3468     0.033
3473     0.025
3477     0.033
3528     0.021
3589     0.017
3590     0.009
3612     0.027
3638     0.021
3648     0.03
3649     0.431
3650     0.033
3652     0.091
3653     0.023
3656     0.028
3667     0.02
3673     0.045
3677     0.018
3688     0.053
3705     0.042
3733     0.022
3740     0.018
3749     0.035
3751     0.021
3770     0.021
