80
t_index  tf-idf
7     0.001
30     0.087
33     0.075
74     0.065
114     0.097
115     0.078
145     0.059
318     0.097
321     0.082
611     0.031
663     0.097
757     0.096
848     0.036
1068     0.075
1087     0.087
1112     0.046
1161     0.045
1219     0.082
1238     0.097
1290     0.038
1346     0.041
1420     0.049
1431     0.072
1439     0.054
1452     0.068
1457     0.072
1528     0.572
1565     0.262
1581     0.136
1610     0.042
1656     0.097
1664     0.097
1668     0.097
1780     0.056
1786     0.087
1791     0.072
1876     0.168
1925     0.049
1951     0.109
1964     0.149
2046     0.097
2080     0.072
2098     0.061
2151     0.06
2298     0.035
2380     0.042
2421     0.035
2478     0.048
2518     0.019
2586     0.065
2608     0.087
2638     0.097
2699     0.049
2721     0.087
2753     0.051
2857     0.028
2888     0.062
3047     0.05
3139     0.078
3195     0.097
3287     0.07
3317     0.103
3377     0.055
3379     0.068
3381     0.07
3387     0.175
3422     0.041
3438     0.059
3447     0.038
3490     0.045
3520     0.103
3569     0.087
3587     0.024
3649     0.388
3696     0.059
3707     0.049
3735     0.087
3740     0.052
3747     0.072
3749     0.052
