102
t_index  tf-idf
2     0.001
66     0.175
108     0.063
111     0.056
115     0.078
125     0.097
149     0.052
157     0.075
212     0.064
367     0.041
417     0.061
438     0.075
465     0.045
538     0.07
563     0.078
590     0.065
661     0.055
703     0.123
704     0.07
730     0.046
801     0.061
837     0.097
866     0.128
879     0.048
933     0.056
935     0.078
953     0.097
1045     0.034
1069     0.051
1165     0.156
1171     0.062
1217     0.063
1232     0.174
1281     0.103
1290     0.038
1336     0.041
1433     0.097
1476     0.067
1478     0.067
1528     0.328
1534     0.068
1562     0.128
1565     0.088
1602     0.064
1608     0.045
1680     0.084
1681     0.121
1732     0.075
1835     0.062
1899     0.052
1903     0.05
1905     0.194
1941     0.185
1967     0.082
1983     0.05
1994     0.167
2000     0.053
2005     0.051
2040     0.05
2053     0.072
2107     0.054
2110     0.06
2169     0.054
2183     0.078
2298     0.07
2421     0.106
2452     0.097
2639     0.097
2660     0.098
2722     0.103
2723     0.058
2771     0.164
2787     0.082
2847     0.038
2857     0.056
2883     0.263
2885     0.034
3017     0.062
3031     0.097
3047     0.05
3050     0.097
3111     0.088
3116     0.078
3201     0.049
3285     0.059
3338     0.059
3353     0.07
3379     0.342
3397     0.078
3398     0.096
3401     0.047
3409     0.082
3422     0.123
3432     0.063
3484     0.059
3649     0.097
3662     0.061
3673     0.065
3677     0.053
3705     0.062
3742     0.057
3775     0.072
