122
t_index  tf-idf
2     0.0
41     0.037
84     0.043
97     0.033
158     0.039
255     0.02
344     0.031
465     0.02
466     0.033
509     0.043
574     0.032
605     0.087
613     0.022
661     0.024
709     0.043
712     0.087
733     0.026
797     0.067
899     0.025
933     0.025
935     0.035
1107     0.067
1144     0.02
1145     0.063
1169     0.032
1173     0.043
1214     0.037
1260     0.032
1284     0.032
1401     0.067
1420     0.109
1439     0.097
1441     0.043
1444     0.035
1447     0.045
1460     0.03
1480     0.086
1528     0.512
1529     0.025
1534     0.061
1552     0.089
1565     0.078
1569     0.035
1581     0.03
1636     0.035
1698     0.025
1704     0.029
1774     0.039
1800     0.031
1807     0.032
1835     0.027
1894     0.018
1920     0.029
1925     0.022
1941     0.027
1958     0.115
1960     0.039
1991     0.039
1994     0.025
2001     0.031
2040     0.022
2061     0.045
2064     0.021
2091     0.078
2118     0.023
2144     0.018
2158     0.035
2169     0.024
2189     0.03
2207     0.032
2224     0.017
2244     0.039
2255     0.043
2283     0.038
2284     0.028
2298     0.078
2307     0.043
2388     0.024
2398     0.035
2444     0.039
2474     0.027
2478     0.021
2508     0.043
2534     0.088
2578     0.027
2691     0.027
2702     0.032
2714     0.034
2771     0.037
2790     0.156
2799     0.033
2834     0.032
2839     0.024
2857     0.025
2885     0.045
2926     0.033
2930     0.02
2967     0.035
2977     0.019
2981     0.047
3019     0.043
3111     0.039
3154     0.05
3179     0.029
3181     0.014
3201     0.022
3207     0.033
3209     0.029
3317     0.023
3318     0.067
3374     0.038
3379     0.091
3381     0.063
3387     0.039
3432     0.014
3532     0.043
3587     0.011
3649     0.694
3653     0.03
3656     0.037
3662     0.027
3705     0.027
