35
t_index  tf-idf
71     0.006
88     0.11
162     0.234
223     0.234
468     0.134
547     0.129
562     0.154
805     0.348
901     0.16
1049     0.119
1322     0.211
1397     0.125
1398     0.223
1467     0.1
1603     0.096
1745     0.18
2124     0.13
2161     0.098
2241     0.092
2277     0.18
2456     0.116
2457     0.143
2503     0.332
2537     0.047
2860     0.197
2879     0.068
2910     0.151
2975     0.146
3144     0.234
3288     0.187
3342     0.124
3404     0.164
3457     0.076
3493     0.234
3553     0.075
