189
t_index  tf-idf
19     0.0
30     0.055
75     0.041
78     0.049
109     0.04
112     0.071
123     0.02
124     0.052
165     0.047
183     0.037
199     0.077
218     0.055
219     0.049
226     0.104
231     0.049
302     0.038
314     0.055
320     0.049
346     0.052
429     0.04
443     0.037
491     0.055
501     0.041
539     0.044
564     0.049
586     0.031
616     0.032
649     0.123
731     0.062
735     0.029
737     0.104
770     0.062
800     0.052
808     0.062
863     0.029
891     0.123
893     0.047
932     0.032
935     0.062
952     0.074
991     0.111
993     0.049
1053     0.043
1077     0.098
1096     0.049
1120     0.029
1143     0.046
1156     0.123
1170     0.114
1174     0.049
1178     0.092
1242     0.037
1266     0.039
1268     0.095
1345     0.052
1379     0.044
1390     0.049
1396     0.055
1421     0.047
1436     0.139
1443     0.046
1454     0.062
1467     0.026
1482     0.123
1490     0.159
1501     0.04
1522     0.046
1541     0.104
1547     0.043
1550     0.052
1569     0.202
1575     0.081
1596     0.047
1603     0.025
1638     0.035
1664     0.046
1683     0.034
1693     0.027
1694     0.192
1734     0.032
1836     0.055
1850     0.039
1885     0.049
1891     0.021
1909     0.026
1940     0.062
1956     0.038
1962     0.043
1979     0.089
1980     0.077
1984     0.052
2022     0.032
2062     0.049
2081     0.03
2112     0.028
2115     0.039
2127     0.038
2145     0.062
2152     0.038
2155     0.099
2175     0.049
2180     0.099
2182     0.039
2208     0.062
2210     0.061
2223     0.04
2224     0.178
2235     0.047
2237     0.023
2241     0.024
2249     0.033
2271     0.047
2299     0.047
2316     0.022
2334     0.049
2376     0.062
2406     0.172
2409     0.055
2440     0.246
2466     0.052
2522     0.049
2527     0.123
2575     0.04
2592     0.208
2605     0.041
2616     0.043
2634     0.042
2635     0.123
2660     0.099
2663     0.055
2685     0.052
2707     0.043
2715     0.13
2716     0.062
2734     0.024
2736     0.047
2757     0.049
2799     0.043
2806     0.041
2854     0.037
2861     0.034
2907     0.043
2912     0.043
2971     0.047
2974     0.055
2993     0.038
2996     0.052
3004     0.034
3016     0.062
3019     0.047
3037     0.049
3049     0.039
3093     0.062
3135     0.049
3136     0.062
3149     0.062
3157     0.043
3198     0.043
3202     0.04
3204     0.059
3210     0.04
3225     0.031
3251     0.04
3298     0.046
3299     0.031
3319     0.062
3404     0.26
3406     0.133
3412     0.055
3423     0.092
3434     0.052
3447     0.026
3464     0.033
3489     0.041
3515     0.028
3548     0.055
3553     0.02
3588     0.053
3613     0.015
3663     0.031
3668     0.099
3675     0.062
3688     0.192
3714     0.025
3715     0.092
3766     0.033
3769     0.028
3773     0.046
3802     0.046
