60
t_index  tf-idf
29     0.002
65     0.171
123     0.046
165     0.109
363     0.102
604     0.095
613     0.09
742     0.186
775     0.067
833     0.141
949     0.105
1180     0.09
1238     0.283
1259     0.15
1266     0.09
1358     0.06
1382     0.127
1465     0.099
1490     0.091
1541     0.358
1546     0.105
1623     0.061
1634     0.119
1838     0.092
1839     0.113
1901     0.105
1926     0.141
1929     0.102
1975     0.075
1983     0.105
2029     0.099
2178     0.102
2213     0.127
2398     0.124
2405     0.141
2418     0.091
2433     0.283
2536     0.099
2537     0.028
2589     0.076
2595     0.097
2604     0.105
2646     0.093
2672     0.099
2799     0.099
2907     0.148
2975     0.088
3148     0.084
3173     0.119
3204     0.045
3301     0.113
3404     0.099
3412     0.127
3422     0.113
3553     0.182
3588     0.06
3611     0.091
3675     0.283
3733     0.071
3775     0.076
