41
t_index  tf-idf
109     0.006
123     0.123
213     0.126
291     0.116
307     0.121
362     0.161
380     0.147
453     0.185
501     0.128
599     0.154
613     0.061
775     0.181
1071     0.235
1227     0.124
1355     0.161
1358     0.081
1362     0.209
1380     0.192
1500     0.295
1545     0.161
1705     0.121
2112     0.087
2161     0.08
2171     0.1
2217     0.114
2288     0.277
2300     0.087
2453     0.142
2508     0.266
2537     0.038
2553     0.078
2646     0.126
2869     0.298
2976     0.108
3167     0.131
3168     0.111
3204     0.061
3281     0.192
3588     0.082
3675     0.192
3790     0.147
