106
t_index  tf-idf
2     0.001
16     0.13
26     0.059
66     0.048
112     0.114
164     0.048
165     0.076
166     0.064
187     0.099
303     0.056
334     0.099
465     0.083
484     0.079
501     0.066
523     0.065
533     0.089
547     0.109
613     0.219
739     0.073
806     0.061
854     0.037
861     0.083
899     0.047
902     0.266
941     0.066
987     0.079
999     0.089
1086     0.099
1119     0.073
1120     0.047
1170     0.046
1227     0.127
1250     0.083
1266     0.062
1291     0.065
1308     0.059
1318     0.076
1358     0.208
1390     0.079
1397     0.105
1422     0.089
1439     0.166
1541     0.083
1575     0.065
1578     0.178
1589     0.079
1623     0.085
1683     0.055
1745     0.076
1746     0.099
1813     0.147
1904     0.068
1918     0.05
1940     0.049
1984     0.083
2000     0.101
2011     0.056
2034     0.13
2078     0.051
2115     0.062
2182     0.062
2223     0.065
2236     0.147
2285     0.099
2398     0.259
2407     0.06
2453     0.073
2537     0.059
2584     0.062
2614     0.055
2626     0.099
2647     0.089
2672     0.069
2738     0.05
2740     0.13
2780     0.06
2791     0.135
2799     0.069
2867     0.083
2907     0.034
2957     0.089
2968     0.048
2988     0.079
3037     0.079
3135     0.079
3147     0.059
3204     0.031
3225     0.05
3251     0.065
3340     0.099
3360     0.099
3378     0.071
3404     0.208
3406     0.071
3412     0.089
3493     0.099
3560     0.099
3571     0.099
3588     0.042
3675     0.197
3719     0.06
3733     0.05
3737     0.068
3774     0.099
3775     0.105
3790     0.038
