116
t_index  tf-idf
2     0.0
21     0.048
109     0.05
112     0.09
213     0.051
281     0.047
322     0.065
332     0.045
334     0.155
387     0.07
457     0.062
487     0.051
491     0.07
501     0.052
513     0.046
541     0.056
547     0.086
550     0.07
587     0.062
613     0.074
616     0.04
671     0.07
737     0.065
764     0.07
854     0.029
866     0.077
899     0.037
935     0.077
1077     0.041
1112     0.051
1127     0.056
1173     0.065
1238     0.077
1301     0.031
1318     0.06
1358     0.033
1397     0.041
1399     0.06
1422     0.07
1436     0.088
1460     0.04
1465     0.054
1470     0.115
1541     0.457
1549     0.07
1578     0.279
1621     0.036
1683     0.043
1696     0.07
1746     0.077
1850     0.049
1891     0.027
1901     0.115
1914     0.041
1981     0.06
2000     0.04
2010     0.045
2017     0.042
2018     0.056
2028     0.112
2107     0.06
2115     0.049
2155     0.062
2206     0.053
2236     0.058
2237     0.089
2302     0.025
2306     0.07
2316     0.056
2339     0.047
2378     0.261
2398     0.136
2425     0.077
2440     0.056
2455     0.062
2537     0.062
2555     0.07
2584     0.049
2595     0.053
2614     0.043
2626     0.077
2663     0.07
2673     0.051
2679     0.065
2719     0.039
2791     0.159
2879     0.022
2907     0.027
3021     0.077
3037     0.062
3070     0.04
3166     0.065
3167     0.159
3204     0.025
3312     0.056
3332     0.077
3360     0.077
3404     0.218
3406     0.112
3412     0.07
3447     0.033
3472     0.03
3474     0.045
3484     0.062
3493     0.077
3494     0.07
3515     0.072
3588     0.033
3615     0.081
3626     0.077
3675     0.31
3722     0.094
3733     0.039
3775     0.041
3790     0.06
3800     0.047
