112
t_index  tf-idf
227     0.002
229     0.034
256     0.097
307     0.066
348     0.119
375     0.035
434     0.104
459     0.094
509     0.104
603     0.104
707     0.104
745     0.241
836     0.112
857     0.054
873     0.084
905     0.061
918     0.061
932     0.055
943     0.104
947     0.104
998     0.104
1009     0.104
1086     0.104
1133     0.08
1170     0.097
1173     0.088
1180     0.132
1182     0.104
1190     0.094
1213     0.084
1222     0.104
1292     0.111
1301     0.124
1399     0.08
1400     0.176
1416     0.094
1436     0.059
1465     0.073
1467     0.045
1524     0.073
1525     0.078
1557     0.088
1603     0.086
1633     0.073
1717     0.069
1742     0.08
1752     0.07
1785     0.132
1800     0.072
1813     0.078
1885     0.084
1886     0.088
1895     0.066
1967     0.06
1980     0.065
2011     0.06
2078     0.054
2109     0.155
2186     0.058
2218     0.039
2219     0.163
2237     0.04
2241     0.082
2288     0.075
2302     0.137
2321     0.044
2439     0.052
2463     0.094
2466     0.088
2515     0.059
2525     0.041
2532     0.104
2537     0.042
2571     0.084
2605     0.14
2627     0.088
2731     0.073
2734     0.041
2742     0.055
2767     0.08
2776     0.084
2803     0.078
2907     0.073
2936     0.104
2951     0.088
2953     0.104
2973     0.066
3030     0.047
3049     0.066
3056     0.104
3077     0.094
3202     0.069
3204     0.033
3378     0.151
3395     0.075
3402     0.059
3404     0.294
3406     0.075
3421     0.078
3442     0.104
3447     0.044
3472     0.041
3588     0.045
3645     0.094
3675     0.209
3688     0.065
3699     0.07
3719     0.064
3768     0.061
3775     0.056
3777     0.067
3794     0.108
