159
t_index  tf-idf
26     0.001
47     0.045
65     0.027
114     0.033
135     0.033
139     0.045
151     0.045
165     0.034
190     0.04
215     0.04
332     0.026
451     0.064
498     0.047
547     0.025
573     0.04
613     0.071
674     0.069
723     0.031
735     0.021
742     0.117
762     0.022
764     0.08
800     0.038
802     0.034
861     0.038
864     0.028
870     0.032
899     0.021
905     0.026
927     0.045
940     0.026
1009     0.045
1170     0.021
1227     0.029
1234     0.029
1266     0.028
1285     0.038
1290     0.019
1293     0.089
1298     0.045
1301     0.018
1358     0.113
1363     0.022
1377     0.151
1436     0.025
1451     0.049
1470     0.033
1473     0.031
1500     0.138
1541     0.339
1545     0.038
1578     0.161
1590     0.06
1600     0.029
1603     0.037
1621     0.021
1623     0.019
1634     0.038
1643     0.038
1678     0.031
1683     0.025
1692     0.03
1737     0.033
1742     0.051
1745     0.034
1769     0.031
1785     0.028
1787     0.04
1804     0.033
1812     0.045
1813     0.033
1823     0.045
1850     0.028
1878     0.032
1891     0.015
1901     0.1
1928     0.034
1935     0.029
1936     0.075
1940     0.022
1951     0.03
1953     0.031
1956     0.028
1957     0.028
1960     0.045
1967     0.026
2011     0.026
2022     0.023
2029     0.031
2059     0.201
2107     0.034
2132     0.04
2161     0.075
2215     0.034
2271     0.034
2316     0.016
2339     0.027
2398     0.117
2411     0.107
2435     0.04
2440     0.016
2482     0.151
2537     0.009
2553     0.054
2595     0.031
2604     0.033
2614     0.025
2654     0.05
2658     0.045
2694     0.04
2704     0.04
2711     0.027
2799     0.031
2822     0.029
2830     0.061
2842     0.036
2861     0.049
2879     0.091
2903     0.051
2905     0.04
2906     0.034
2955     0.027
2976     0.126
2990     0.215
3021     0.402
3070     0.046
3144     0.045
3205     0.033
3217     0.038
3225     0.023
3230     0.031
3312     0.064
3364     0.034
3376     0.033
3404     0.126
3411     0.066
3412     0.08
3426     0.064
3434     0.038
3447     0.038
3487     0.031
3489     0.06
3516     0.027
3564     0.045
3589     0.1
3596     0.045
3669     0.027
3675     0.447
3676     0.045
3688     0.056
3731     0.028
3735     0.107
3736     0.045
3759     0.03
3761     0.04
3765     0.026
3766     0.024
3775     0.072
3790     0.052
