41
t_index  tf-idf
8     0.004
17     0.211
40     0.169
202     0.127
237     0.198
276     0.151
297     0.165
368     0.099
513     0.14
762     0.116
836     0.125
871     0.165
877     0.211
952     0.142
1037     0.188
1077     0.124
1121     0.235
1203     0.161
1208     0.104
1472     0.181
1541     0.198
1734     0.123
1838     0.076
2057     0.12
2137     0.169
2278     0.12
2450     0.211
2680     0.118
2869     0.091
2890     0.198
2900     0.154
2907     0.082
2912     0.165
2922     0.235
2931     0.13
3265     0.198
3269     0.103
3363     0.142
3476     0.108
3573     0.211
3775     0.125
