249
t_index  tf-idf
26     0.0
75     0.022
80     0.033
101     0.047
105     0.023
106     0.033
112     0.096
113     0.03
159     0.03
192     0.02
213     0.022
231     0.027
244     0.016
256     0.015
296     0.021
303     0.038
308     0.053
398     0.028
408     0.021
418     0.021
437     0.016
445     0.026
468     0.019
472     0.017
476     0.017
523     0.022
534     0.026
562     0.022
568     0.027
629     0.056
667     0.04
693     0.043
708     0.021
712     0.027
727     0.024
728     0.03
735     0.016
738     0.04
762     0.066
806     0.021
836     0.018
849     0.028
854     0.012
861     0.028
871     0.023
882     0.018
885     0.016
899     0.016
918     0.019
924     0.025
1007     0.03
1009     0.066
1010     0.033
1048     0.033
1049     0.017
1068     0.033
1089     0.061
1112     0.022
1120     0.016
1127     0.024
1145     0.026
1156     0.033
1170     0.031
1173     0.028
1182     0.033
1203     0.023
1218     0.03
1227     0.064
1265     0.03
1266     0.147
1291     0.022
1295     0.025
1301     0.013
1321     0.028
1324     0.084
1333     0.027
1350     0.04
1358     0.014
1389     0.051
1404     0.03
1407     0.028
1421     0.051
1428     0.017
1432     0.017
1443     0.025
1451     0.037
1467     0.043
1497     0.03
1518     0.03
1541     0.336
1547     0.023
1569     0.018
1575     0.044
1578     0.448
1607     0.03
1610     0.017
1681     0.066
1683     0.019
1692     0.022
1705     0.021
1720     0.033
1731     0.028
1733     0.033
1734     0.035
1737     0.025
1793     0.019
1821     0.074
1857     0.033
1858     0.205
1885     0.027
1886     0.028
1891     0.023
1901     0.025
1909     0.042
1921     0.033
1923     0.066
1924     0.066
1928     0.051
1930     0.03
1936     0.028
1940     0.033
1967     0.038
1969     0.03
2000     0.034
2005     0.019
2010     0.019
2011     0.057
2022     0.017
2057     0.034
2073     0.059
2078     0.034
2081     0.032
2089     0.023
2112     0.03
2116     0.155
2124     0.037
2125     0.033
2159     0.033
2182     0.042
2200     0.08
2210     0.033
2226     0.028
2234     0.028
2236     0.025
2237     0.101
2240     0.024
2243     0.018
2268     0.02
2270     0.022
2273     0.033
2295     0.019
2299     0.026
2300     0.03
2316     0.036
2327     0.056
2332     0.024
2339     0.061
2385     0.03
2402     0.077
2407     0.142
2416     0.027
2440     0.012
2453     0.025
2503     0.078
2509     0.033
2510     0.022
2525     0.013
2537     0.007
2540     0.026
2559     0.049
2575     0.044
2595     0.023
2597     0.021
2605     0.022
2614     0.019
2672     0.023
2675     0.03
2708     0.025
2709     0.03
2719     0.067
2732     0.028
2734     0.013
2736     0.026
2748     0.034
2759     0.026
2774     0.018
2784     0.027
2785     0.026
2857     0.017
2861     0.037
2868     0.016
2879     0.077
2895     0.025
2903     0.1
2907     0.012
2912     0.047
2914     0.027
2956     0.023
2980     0.028
2982     0.024
2983     0.062
2984     0.045
3021     0.232
3049     0.042
3104     0.012
3125     0.077
3136     0.033
3138     0.021
3157     0.023
3162     0.027
3166     0.028
3175     0.025
3200     0.025
3204     0.032
3228     0.027
3299     0.085
3301     0.053
3346     0.042
3358     0.024
3377     0.021
3404     0.373
3406     0.072
3421     0.025
3432     0.033
3447     0.014
3489     0.022
3515     0.046
3553     0.032
3588     0.028
3666     0.017
3669     0.02
3675     0.166
3688     0.062
3703     0.018
3714     0.013
3716     0.033
3718     0.022
3724     0.02
3737     0.091
3741     0.048
3750     0.033
3753     0.025
3760     0.047
3766     0.035
3769     0.015
3775     0.089
3804     0.069
3805     0.039
3806     0.149
