45
t_index  tf-idf
31     0.004
449     0.107
465     0.179
543     0.17
614     0.212
658     0.142
730     0.212
742     0.093
805     0.158
870     0.153
1126     0.191
1152     0.099
1213     0.17
1250     0.179
1292     0.112
1500     0.163
1546     0.158
1600     0.139
1603     0.087
1619     0.145
1891     0.073
1928     0.163
2057     0.108
2155     0.34
2332     0.153
2398     0.093
2431     0.139
2482     0.179
2497     0.104
2525     0.084
2542     0.149
2553     0.086
2605     0.142
2840     0.163
2907     0.074
2968     0.103
3000     0.093
3131     0.179
3210     0.139
3302     0.212
3307     0.153
3369     0.191
3399     0.093
3553     0.068
3733     0.107
