40
t_index  tf-idf
21     0.003
104     0.177
123     0.071
165     0.17
201     0.145
244     0.106
380     0.17
453     0.214
457     0.177
547     0.122
775     0.209
986     0.177
1071     0.136
1133     0.17
1184     0.177
1355     0.186
1358     0.093
1399     0.17
1541     0.186
1578     0.199
1683     0.123
1705     0.14
1725     0.136
1904     0.152
2070     0.164
2218     0.083
2508     0.102
2553     0.09
2646     0.145
2705     0.17
2869     0.172
2907     0.077
2948     0.17
3168     0.128
3200     0.164
3404     0.311
3515     0.102
3675     0.221
3688     0.138
3719     0.136
