tt0396269
movie_id       cosine_similarity   
tt0105112      0.020765            
tt1204975      0.000000            
tt0243655      0.035510            
tt0040897      0.124386            
tt0126886      0.000000            
tt0286716      0.000000            
tt0090605      0.061533            
tt0243155      0.000000            
tt0121765      0.004922            
tt0443453      0.000000            
tt0107131      0.000000            
tt0110364      0.064684            
tt0450259      0.011058            
tt0143145      0.069192            
tt0435625      0.035328            
tt0343818      0.000000            
tt0120815      0.006200            
tt0253754      0.043217            
tt1951264      0.001862            
tt0118849      0.122761            
tt0120783      0.035102            
tt0114814      0.006279            
tt0101700      0.013280            
tt0377092      0.003135            
tt0102768      0.029534            
tt1259521      0.087727            
tt2084970      0.015370            
tt0108399      0.108290            
tt0017136      0.018788            
tt2356777      0.017010            
tt0215750      0.102485            
tt0082096      0.005915            
tt0408985      0.000000            
tt0107822      0.013676            
tt1120985      0.038255            
tt0018455      0.012900            
tt0499448      0.000000            
tt0133152      0.000000            
tt1289401      0.000000            
tt2101441      0.000000            
tt0475784      0.005415            
tt1536537      0.013174            
tt0113957      0.000000            
tt0100507      0.010148            
tt0302886      0.009591            
tt0460681      0.076994            
tt3011894      0.006938            
tt0114319      0.025306            
tt3748528      0.000000            
tt0107207      0.000000            
tt0120363      0.085860            
tt0109707      0.000000            
tt0103893      0.003458            
tt1217209      0.017420            
tt0116126      0.093146            
tt0140352      0.000000            
tt0406375      0.007100            
tt0120794      0.124548            
tt3659388      0.000000            
tt0160127      0.000000            
tt0103772      0.008018            
tt0099810      0.000000            
tt0116705      0.118593            
tt0298148      0.018924            
tt0351283      0.012878            
tt0102744      0.000000            
tt1298650      0.008774            
tt1187064      0.016315            
tt0149261      0.099444            
tt0106977      0.066780            
tt0452594      0.007500            
tt2660888      0.000000            
tt0103064      0.037696            
tt0959337      0.037998            
tt0295700      0.040566            
tt0107048      0.015476            
tt0416320      0.009478            
tt0353969      0.005800            
tt0405159      0.019483            
tt1781769      0.027013            
tt0337741      0.011449            
tt0120828      0.031080            
tt0120903      0.000000            
tt0232500      0.009630            
tt0113442      0.182969            
tt0396171      0.000000            
tt0458352      0.000000            
tt1392190      0.011416            
tt0458339      0.001672            
tt0110322      0.000000            
tt0324216      0.124212            
tt0382625      0.000000            
tt0101545      0.018470            
tt0360486      0.014136            
tt0129290      0.000000            
tt1228705      0.000000            
tt1430132      0.008904            
tt0133093      0.009276            
tt0103241      0.006240            
tt0230011      0.000000            
tt0887912      0.014070            
tt0376994      0.002052            
tt0101889      0.084429            
tt0106582      0.000000            
tt1591095      0.013794            
tt5439796      0.000000            
tt0408236      0.011727            
tt0117218      0.002888            
tt1355644      0.027118            
tt5580390      0.000000            
tt0461770      0.006634            
tt0038650      0.018570            
tt0234215      0.009197            
tt1091191      0.011660            
tt0117666      0.020514            
tt0765429      0.136384            
tt0116996      0.023274            
tt0319061      0.002926            
tt0050783      0.000133            
tt0118749      0.007524            
tt0340855      0.006498            
tt0046912      0.008075            
tt2262227      0.000000            
tt0107362      0.091419            
tt0369436      0.016156            
tt1673434      0.055248            
tt0469494      0.014488            
tt5247022      0.073731            
tt2089750      0.145231            
tt0087544      0.008500            
tt1663662      0.095967            
tt0109045      0.007600            
tt0418832      0.010950            
tt1860357      0.081150            
tt0389860      0.009766            
tt0184858      0.011383            
tt0104990      0.000000            
tt2042568      0.000000            
tt0241527      0.020337            
tt0285742      0.019479            
tt1496422      0.139240            
tt0120744      0.000000            
tt1840309      0.003822            
tt0119396      0.000000            
tt0988045      0.082521            
tt0253867      0.009006            
tt0130236      0.011300            
tt0138704      0.003344            
tt2543472      0.097308            
tt0102057      0.096862            
tt2239822      0.002394            
tt0398808      0.007400            
tt1172570      0.000000            
tt0416449      0.018335            
tt0187078      0.082521            
tt0114614      0.007182            
tt0264796      0.056476            
tt0210945      0.011830            
tt0277296      0.182919            
tt0122151      0.132735            
tt0125439      0.002432            
tt0060107      0.000000            
tt0119643      0.028472            
tt0120623      0.012728            
tt0086879      0.001767            
tt0119683      0.000000            
tt0298203      0.000000            
tt0268380      0.003572            
tt5867800      0.131652            
tt0183505      0.094715            
tt0277027      0.022230            
tt3631112      0.092240            
tt0120611      0.000000            
tt0181865      0.012700            
tt0414993      0.006552            
tt0103112      0.002109            
tt1490017      0.000000            
tt4061010      0.101584            
tt0106611      0.002261            
tt1386697      0.025076            
tt1748122      0.039009            
tt0758746      0.132678            
tt0119256      0.025296            
tt2322441      0.005885            
tt0117571      0.021866            
tt0120577      0.000000            
tt0116282      0.069503            
tt1798603      0.170289            
tt0104348      0.000000            
tt2872718      0.000000            
tt0070735      0.004368            
tt2713180      0.000000            
tt1872181      0.011234            
tt0104454      0.003534            
tt2015381      0.000000            
tt1649419      0.006006            
tt0388795      0.049111            
tt0120586      0.006700            
tt0046911      0.103986            
tt0099674      0.009630            
tt1077368      0.010400            
tt0335266      0.000000            
tt0118715      0.008000            
tt0314331      0.034294            
tt1936532      0.000000            
tt0170016      0.010058            
tt1601913      0.011408            
tt2140479      0.049181            
tt1583421      0.000000            
tt0212985      0.010647            
tt0356150      0.002717            
tt3289956      0.000000            
tt0119217      0.048114            
tt0395699      0.003762            
tt0104694      0.005092            
tt0357413      0.001843            
tt0304669      0.081090            
tt2338151      0.004914            
tt0118799      0.007704            
tt0364845      0.008635            
tt0109279      0.000000            
tt3521126      0.014706            
tt1596363      0.041022            
tt0322259      0.127359            
tt2194499      0.043058            
tt1735898      0.014249            
tt3079380      0.000000            
tt0482606      0.050616            
tt2397535      0.009009            
tt2245084      0.000000            
tt1074638      0.009004            
tt0041959      0.023895            
tt0405508      0.011816            
tt0411477      0.000000            
tt1758810      0.010628            
tt0114898      0.000171            
tt0257106      0.026373            
tt0115571      0.006023            
tt1130884      0.027084            
tt2226597      0.017517            
tt0150377      0.003439            
tt0451279      0.071781            
tt0146336      0.005885            
tt2395427      0.000000            
tt0110912      0.015121            
tt0106519      0.003363            
tt0101316      0.000000            
tt0099653      0.006100            
tt5109784      0.000000            
tt0800369      0.010914            
tt0099348      0.018594            
tt0110729      0.019875            
tt0892769      0.156071            
tt2024544      0.017541            
tt0118655      0.105276            
tt0117705      0.002052            
tt0209958      0.003731            
tt0113321      0.010923            
tt0111756      0.012922            
tt1255953      0.011000            
tt0307987      0.066599            
tt0330793      0.018831            
tt0384537      0.100071            
tt1219289      0.007728            
tt0050986      0.020669            
tt0432283      0.015530            
tt0084787      0.001976            
tt0436697      0.000000            
tt0175880      0.034920            
tt0107688      0.041695            
tt1631867      0.010304            
tt0486583      0.070406            
tt1401143      0.000000            
tt0478304      0.000000            
tt0485947      0.020547            
tt1386588      0.000000            
tt0099566      0.089481            
tt0100150      0.002242            
tt0103786      0.000000            
tt0119313      0.005780            
tt0102975      0.020799            
tt1724970      0.000000            
tt0832266      0.008190            
tt1485796      0.003610            
tt0117665      0.078674            
tt0088763      0.023233            
tt0266697      0.034907            
tt0104545      0.031360            
tt0031679      0.000000            
tt0111257      0.000000            
tt0866439      0.045626            
tt0964517      0.000323            
tt1375670      0.012202            
tt1637688      0.015845            
tt0044741      0.012683            
tt0101757      0.000000            
tt0762121      0.000000            
tt0983193      0.005202            
tt0196229      0.000000            
tt1670345      0.000000            
tt0454848      0.018231            
tt1528854      0.011137            
tt0134119      0.006099            
tt0452046      0.062650            
tt0478311      0.096785            
tt0120382      0.004186            
tt0106697      0.015967            
tt2820852      0.043138            
tt0109635      0.000000            
tt0144117      0.018572            
tt2802144      0.006513            
tt0332280      0.028636            
tt0795421      0.105075            
tt2305051      0.006461            
tt1853728      0.000000            
tt0110168      0.000000            
tt0119094      0.007280            
tt0155753      0.000285            
tt1282140      0.000000            
tt1267297      0.011686            
tt0022100      0.000000            
tt5311514      0.031182            
tt0112462      0.013255            
tt1800241      0.072392            
tt0213149      0.006270            
tt0203259      0.000000            
tt5715874      0.030466            
tt0078748      0.094224            
tt3890160      0.000000            
tt0116191      0.000000            
tt0293815      0.162286            
tt4263482      0.007462            
tt0052311      0.000000            
tt0107290      0.065295            
tt0100758      0.010700            
tt0133751      0.000475            
tt1661199      0.015468            
tt0096283      0.009633            
tt0119081      0.000000            
tt0100802      0.023496            
tt0187393      0.080916            
tt0108358      0.120705            
tt0076759      0.000000            
tt0186151      0.007700            
tt0117765      0.028782            
tt0106701      0.003819            
tt0790636      0.001406            
tt1210166      0.024072            
tt2527336      0.000000            
tt0144084      0.017047            
tt0115736      0.119431            
tt0120689      0.015197            
tt1659337      0.018958            
tt0120347      0.163440            
tt0087884      0.000000            
tt0116629      0.009657            
tt0378194      0.075366            
tt0104940      0.000000            
tt0107438      0.011900            
tt0120663      0.009044            
tt1578873      0.012922            
tt3532216      0.000000            
tt0309987      0.025602            
tt0108160      0.074372            
tt1379182      0.007844            
tt3332064      0.004921            
tt0074958      0.000000            
tt0383534      0.008208            
tt0113855      0.110019            
tt0105156      0.000000            
tt0332379      0.010374            
tt0105275      0.000000            
tt0118617      0.039195            
tt1809398      0.070102            
tt6868216      0.019838            
tt2279339      0.000000            
tt0238380      0.011036            
tt0062622      0.005460            
tt0071562      0.112572            
tt0482571      0.014300            
tt0780504      0.072209            
tt2180411      0.000000            
tt1454468      0.000000            
tt0116287      0.089593            
tt0113627      0.010032            
tt4209788      0.002793            
tt0317219      0.008988            
tt0120863      0.015096            
tt0079944      0.063425            
tt0119488      0.000000            
tt0442933      0.002299            
tt0107120      0.009191            
tt0118998      0.030983            
tt0496806      0.010010            
tt1321511      0.000000            
tt1504320      0.010307            
tt1528100      0.111539            
tt0106856      0.033606            
tt1615065      0.009737            
tt0107211      0.015449            
tt0110478      0.006900            
tt0212346      0.022584            
tt2234155      0.000000            
tt0217505      0.000000            
tt0185937      0.031711            
tt0349683      0.000000            
tt0356910      0.029222            
tt0386588      0.011402            
tt0099871      0.012577            
tt0046268      0.018800            
tt0371724      0.072036            
tt0021749      0.021087            
tt0102685      0.012597            
tt0204946      0.124095            
tt5726616      0.010698            
tt0162222      0.078708            
tt0218967      0.158211            
tt4622512      0.073200            
tt0207201      0.010036            
tt1446192      0.000000            
tt0099141      0.000000            
tt1796960      0.002204            
tt0388419      0.000000            
tt0047296      0.017480            
tt0443706      0.000000            
tt0120888      0.045954            
tt0454945      0.006206            
tt0266915      0.138716            
