63
t_index   tf-idf    
11        0.001
125       0.086
211       0.062
226       0.12
407       0.138
471       0.052
572       0.094
625       0.146
767       0.109
850       0.12
934       0.361
1021      0.071
1116      0.12
1178      0.086
1307      0.182
1360      0.084
1809      0.102
1986      0.081
2009      0.109
2370      0.091
2381      0.08
2630      0.12
2653      0.056
2667      0.064
2825      0.143
2847      0.046
3004      0.061
3173      0.174
3205      0.098
3503      0.143
3655      0.361
3680      0.068
3863      0.091
3909      0.135
3910      0.098
4110      0.109
4424      0.077
4425      0.218
4427      0.109
4477      0.094
4731      0.048
4758      0.084
4911      0.177
5058      0.083
5123      0.102
5224      0.067
5319      0.08
5335      0.109
5419      0.074
5503      0.076
5695      0.205
5898      0.218
6134      0.075
6341      0.102
6525      0.195
6678      0.068
6801      0.094
6981      0.086
7338      0.102
7581      0.05
7604      0.078
7686      0.076
7741      0.084
