33
t_index   tf-idf    
27        0.005
357       0.147
466       0.39
768       0.131
780       0.152
1208      0.103
1508      0.143
1737      0.094
1891      0.195
1911      0.088
2307      0.113
2484      0.137
2485      0.332
2498      0.152
2611      0.147
2833      0.177
3173      0.094
3226      0.195
3278      0.177
3309      0.39
3422      0.113
3503      0.116
4731      0.077
4741      0.177
4825      0.127
5041      0.158
5277      0.195
6329      0.108
6472      0.134
6981      0.14
7686      0.123
7705      0.177
7714      0.12
