41
t_index   tf-idf    
111       0.002
186       0.105
254       0.102
350       0.118
471       0.155
572       0.139
606       0.178
783       0.356
830       0.108
1130      0.114
1461      0.131
1702      0.072
1737      0.085
1963      0.151
2186      0.144
2902      0.083
3173      0.257
3212      0.08
3278      0.161
3655      0.356
3805      0.139
4018      0.096
4104      0.131
4294      0.116
4385      0.178
4802      0.116
4979      0.085
5041      0.144
5061      0.161
5224      0.099
5681      0.116
6181      0.139
6186      0.104
6498      0.108
6981      0.128
7058      0.202
7077      0.114
7129      0.125
7161      0.089
7686      0.337
7837      0.059
