57
t_index   tf-idf    
55        0.002
209       0.083
211       0.145
238       0.109
471       0.061
586       0.071
778       0.559
974       0.103
1230      0.059
1509      0.087
1514      0.109
1737      0.067
1911      0.063
1960      0.14
2237      0.083
2471      0.094
2664      0.094
2756      0.094
2902      0.065
2941      0.083
3057      0.14
3173      0.135
3224      0.28
3325      0.062
3434      0.14
3655      0.28
3793      0.084
3848      0.14
4013      0.073
4274      0.129
4292      0.051
4809      0.045
5198      0.066
5308      0.075
5358      0.086
5468      0.106
5577      0.088
5677      0.177
5801      0.094
5909      0.083
6040      0.14
6223      0.074
6329      0.077
6397      0.113
6399      0.127
6474      0.087
6692      0.086
6875      0.114
7194      0.082
7240      0.091
7308      0.106
7601      0.087
7686      0.177
7697      0.063
7756      0.085
7758      0.103
7834      0.065
