61
t_index   tf-idf    
226       0.002
345       0.059
426       0.077
471       0.047
522       0.077
1026      0.06
1343      0.048
1694      0.106
1702      0.043
1716      0.063
1870      0.062
1986      0.072
2110      0.067
2339      0.071
2348      0.062
2406      0.064
2444      0.091
2449      0.068
2564      0.038
2646      0.151
2789      0.061
2847      0.083
2873      0.048
2923      0.119
2936      0.148
3173      0.156
3224      0.645
3278      0.195
3392      0.079
3655      0.322
3765      0.204
3886      0.107
4022      0.058
4081      0.035
4120      0.036
4162      0.059
4177      0.087
4570      0.081
4661      0.05
4675      0.056
4979      0.052
4991      0.037
5150      0.056
5206      0.064
5308      0.057
5461      0.067
5488      0.107
5889      0.071
6292      0.191
6329      0.059
6550      0.107
6785      0.084
6875      0.044
6934      0.056
6981      0.231
7012      0.062
7030      0.074
7180      0.047
7385      0.097
7580      0.048
7824      0.031
