30
t_index   tf-idf    
226       0.014
606       0.203
611       0.099
977       0.096
1071      0.164
1130      0.13
1500      0.126
1548      0.184
1550      0.172
1870      0.116
1911      0.091
2347      0.126
2568      0.164
2969      0.142
3173      0.293
3224      0.203
3254      0.097
3275      0.145
3278      0.551
3655      0.203
3880      0.164
3947      0.145
4029      0.114
4120      0.138
6379      0.111
6508      0.105
6875      0.082
7012      0.118
7090      0.128
7637      0.298
