61
t_index   tf-idf    
214       0.004
226       0.338
229       0.306
341       0.121
389       0.144
408       0.063
606       0.113
797       0.091
1147      0.085
1276      0.102
1491      0.102
1502      0.102
1547      0.073
1911      0.102
2307      0.065
2439      0.063
2462      0.055
2564      0.04
2667      0.06
2781      0.091
3173      0.163
3174      0.065
3212      0.051
3224      0.113
3286      0.068
3325      0.05
3416      0.083
3621      0.085
3655      0.338
3720      0.183
3858      0.204
3874      0.163
4187      0.046
4373      0.102
4424      0.072
4676      0.102
4843      0.102
5091      0.113
5094      0.113
5299      0.069
5335      0.102
5469      0.091
5479      0.079
5503      0.214
5573      0.076
5780      0.075
5805      0.192
5840      0.076
6214      0.102
6227      0.096
6292      0.134
6419      0.083
6943      0.081
6981      0.242
7161      0.113
7180      0.049
7391      0.077
7529      0.091
7547      0.113
7686      0.142
7824      0.066
