54
t_index   tf-idf    
223       0.002
253       0.148
265       0.109
471       0.064
606       0.148
657       0.12
721       0.148
977       0.07
1159      0.134
1208      0.157
1343      0.066
1512      0.176
1737      0.071
1805      0.095
1842      0.095
2118      0.12
2467      0.055
2479      0.096
2538      0.126
2540      0.112
2583      0.07
2732      0.055
3224      0.148
3316      0.1
3593      0.102
3655      0.444
3775      0.079
3925      0.296
4060      0.12
4386      0.09
4457      0.126
4614      0.083
4684      0.086
4783      0.148
4809      0.047
4896      0.095
5177      0.091
5256      0.116
5429      0.112
5672      0.134
6042      0.134
6096      0.08
6415      0.134
6556      0.109
6604      0.126
6692      0.091
6981      0.319
6989      0.126
6996      0.116
7234      0.072
7283      0.126
7614      0.075
7686      0.094
7705      0.134
