47
t_index   tf-idf    
195       0.002
202       0.126
560       0.088
572       0.347
1343      0.133
1403      0.12
1405      0.104
2212      0.134
2214      0.116
2248      0.112
2430      0.1
2479      0.097
2518      0.092
2523      0.106
2564      0.052
2636      0.134
2670      0.134
2967      0.088
2969      0.104
3132      0.089
3283      0.148
3485      0.116
3655      0.148
3911      0.078
4094      0.083
4710      0.077
4809      0.047
4930      0.134
4979      0.071
4991      0.051
5022      0.106
5130      0.204
5233      0.45
5387      0.07
5503      0.094
5589      0.109
5681      0.097
5822      0.1
6555      0.083
6713      0.089
6981      0.425
7012      0.086
7035      0.098
7058      0.056
7509      0.116
7740      0.098
7835      0.148
