32
t_index   tf-idf    
182       0.006
226       0.199
572       0.155
1403      0.161
1461      0.146
1540      0.118
1864      0.322
1911      0.089
2239      0.108
2551      0.108
2756      0.134
3224      0.596
3663      0.112
4022      0.107
4292      0.072
4359      0.155
5058      0.136
5280      0.139
5387      0.094
5445      0.124
5609      0.155
5619      0.126
6292      0.118
6301      0.18
6321      0.199
6678      0.113
6934      0.104
7140      0.113
7207      0.108
7290      0.199
7581      0.082
7705      0.18
