44
t_index   tf-idf    
28        0.003
87        0.116
458       0.084
632       0.108
1033      0.096
1245      0.108
1322      0.12
1445      0.105
1737      0.074
1963      0.13
2462      0.075
2564      0.054
2809      0.153
3025      0.139
3042      0.098
3173      0.148
3212      0.069
3224      0.307
3278      0.278
3286      0.093
3655      0.46
3760      0.077
3909      0.086
4120      0.052
4135      0.09
4155      0.13
4731      0.061
5077      0.113
5472      0.113
5525      0.113
5996      0.12
6329      0.169
6634      0.096
6662      0.096
6869      0.153
6875      0.062
6981      0.22
7240      0.1
7408      0.076
7494      0.113
7615      0.374
7686      0.097
7705      0.139
7777      0.053
