42
t_index   tf-idf    
9         0.002
110       0.101
163       0.141
819       0.141
941       0.104
1199      0.12
1453      0.092
1512      0.084
1549      0.141
1563      0.084
1702      0.057
1778      0.107
2056      0.115
2203      0.12
2251      0.101
2304      0.141
2508      0.081
2527      0.097
2583      0.067
2727      0.128
2813      0.099
3173      0.068
3259      0.11
3543      0.101
3590      0.091
3655      0.565
3944      0.141
4001      0.174
4035      0.107
4809      0.045
4964      0.11
5319      0.094
5430      0.141
5484      0.11
5717      0.442
5808      0.115
5836      0.072
6981      0.101
7344      0.095
7446      0.214
7580      0.064
7733      0.089
