55
t_index   tf-idf    
102       0.002
226       0.113
350       0.075
410       0.102
471       0.049
572       0.088
709       0.07
858       0.083
859       0.066
996       0.306
1245      0.079
1429      0.085
1737      0.054
2439      0.063
2551      0.061
2560      0.062
2583      0.053
2792      0.45
2825      0.067
2941      0.067
2967      0.067
3173      0.109
3512      0.096
3514      0.341
3592      0.096
3628      0.076
3655      0.45
4001      0.069
4539      0.077
4672      0.096
4749      0.07
4751      0.083
4894      0.113
4946      0.096
5525      0.083
5681      0.073
5704      0.091
5889      0.149
6498      0.068
6523      0.203
6627      0.06
6875      0.046
6981      0.081
6996      0.088
7030      0.077
7044      0.102
7140      0.064
7161      0.057
7356      0.096
7381      0.113
7385      0.102
7402      0.102
7519      0.083
7618      0.113
7777      0.039
