30
t_index   tf-idf    
296       0.004
572       0.154
766       0.178
1294      0.154
1933      0.167
2653      0.091
2789      0.112
2847      0.076
2881      0.13
2902      0.092
2931      0.149
3173      0.285
3305      0.319
3321      0.13
3655      0.59
3760      0.098
3816      0.167
3902      0.197
4015      0.149
4559      0.167
4684      0.114
4809      0.063
5310      0.135
6246      0.084
6627      0.104
6914      0.094
7407      0.154
7639      0.117
7714      0.121
7736      0.178
