52
t_index   tf-idf    
186       0.002
458       0.083
572       0.119
728       0.304
752       0.109
1737      0.073
1819      0.304
1917      0.258
2072      0.109
2427      0.138
2449      0.096
2583      0.072
2664      0.102
2667      0.08
2719      0.152
2732      0.056
2789      0.086
2902      0.071
2910      0.119
3173      0.073
3174      0.087
3182      0.152
3183      0.115
3282      0.152
3654      0.275
3655      0.152
3694      0.304
3816      0.129
4013      0.079
4025      0.089
4120      0.052
4386      0.092
4430      0.129
4865      0.152
4894      0.152
4984      0.123
5553      0.097
5828      0.109
6379      0.083
6502      0.068
6564      0.096
6627      0.08
6729      0.152
6812      0.109
6875      0.062
6876      0.102
6914      0.217
7388      0.129
7623      0.138
7634      0.129
7726      0.112
7824      0.044
