45
t_index   tf-idf    
266       0.002
390       0.134
709       0.119
717       0.191
1079      0.134
1279      0.111
1290      0.155
1712      0.127
1841      0.105
2212      0.173
2540      0.145
2560      0.105
2963      0.173
3174      0.11
3278      0.173
3322      0.326
3415      0.115
3638      0.191
3874      0.092
3875      0.116
4013      0.1
4036      0.129
4168      0.125
4260      0.119
4710      0.199
4717      0.09
4809      0.061
4947      0.191
5829      0.191
5836      0.098
6142      0.155
6235      0.137
6305      0.163
6432      0.191
6754      0.103
6875      0.078
6942      0.191
6981      0.137
7256      0.137
7358      0.163
7385      0.173
7610      0.15
7625      0.155
7705      0.173
7830      0.127
