59
t_index   tf-idf    
57        0.001
87        0.087
226       0.346
360       0.105
572       0.09
615       0.068
1281      0.175
1403      0.094
1716      0.135
1737      0.055
1963      0.098
2009      0.105
2032      0.115
2339      0.076
2464      0.098
2518      0.072
2560      0.063
2564      0.122
2583      0.054
2789      0.066
2967      0.068
3005      0.068
3098      0.094
3173      0.056
3212      0.104
3278      0.105
3282      0.231
3556      0.098
3590      0.148
3655      0.346
3794      0.098
4067      0.09
4150      0.074
4187      0.094
4292      0.042
4809      0.037
4894      0.231
4946      0.098
5002      0.139
5041      0.094
5308      0.062
5387      0.055
5541      0.105
5580      0.081
6061      0.105
6292      0.137
6555      0.065
6556      0.085
6602      0.087
6627      0.061
6981      0.083
6993      0.462
7058      0.087
7073      0.059
7408      0.057
7494      0.085
7538      0.098
7614      0.059
7774      0.045
