49
t_index   tf-idf    
226       0.004
443       0.156
586       0.093
736       0.166
754       0.117
1063      0.104
1405      0.128
1450      0.119
1896      0.119
2059      0.103
2111      0.143
2239      0.099
2271      0.166
2847      0.071
2885      0.149
3173      0.088
3254      0.088
3446      0.131
3512      0.156
3526      0.149
3629      0.121
3655      0.366
3771      0.086
3775      0.098
4013      0.095
4135      0.107
4162      0.1
4191      0.116
4360      0.126
4583      0.312
4695      0.088
4950      0.166
5184      0.183
5270      0.123
5319      0.121
5429      0.139
5643      0.143
5918      0.119
5936      0.183
6060      0.113
6229      0.166
6680      0.063
6998      0.183
7385      0.166
7625      0.149
7686      0.116
7753      0.081
7764      0.183
7774      0.072
