59
t_index   tf-idf    
572       0.002
660       0.087
784       0.079
1006      0.118
1076      0.118
1091      0.078
1296      0.1
1342      0.087
1617      0.092
1870      0.068
2285      0.1
2347      0.147
2498      0.092
2518      0.073
2577      0.073
2644      0.096
2725      0.107
2751      0.107
2847      0.045
2965      0.118
3173      0.114
3174      0.068
3278      0.107
3350      0.071
3364      0.074
3655      0.353
3976      0.084
4081      0.038
4292      0.213
4386      0.143
4420      0.084
4894      0.235
5077      0.087
5297      0.063
5383      0.1
5565      0.118
5580      0.083
5819      0.1
6258      0.071
6502      0.159
6523      0.071
6693      0.073
6824      0.087
6906      0.235
6981      0.422
6989      0.1
6996      0.092
7012      0.068
7180      0.051
7234      0.058
7257      0.045
7408      0.058
7567      0.084
7664      0.087
7665      0.107
7686      0.149
7705      0.32
7777      0.04
7824      0.034
