149
t_index  tf-idf
1     0.001
97     0.06
183     0.051
191     0.053
201     0.11
230     0.055
244     0.04
296     0.053
303     0.048
307     0.053
310     0.048
430     0.084
483     0.043
488     0.062
498     0.044
501     0.056
547     0.046
624     0.059
627     0.084
658     0.168
661     0.084
664     0.047
742     0.22
762     0.042
768     0.071
781     0.075
840     0.051
863     0.039
924     0.125
1009     0.084
1018     0.06
1027     0.055
1030     0.071
1040     0.075
1066     0.075
1112     0.055
1148     0.084
1152     0.039
1153     0.06
1218     0.075
1227     0.054
1259     0.044
1266     0.106
1282     0.071
1290     0.072
1292     0.133
1363     0.082
1366     0.067
1375     0.071
1392     0.075
1410     0.075
1413     0.064
1417     0.075
1432     0.042
1436     0.095
1437     0.167
1443     0.062
1451     0.046
1460     0.043
1542     0.048
1557     0.071
1578     0.151
1580     0.084
1621     0.039
1638     0.048
1690     0.084
1705     0.053
1711     0.048
1717     0.055
1727     0.071
1731     0.071
1890     0.075
1895     0.106
1918     0.043
1940     0.042
1959     0.084
1962     0.059
1975     0.044
1981     0.129
2022     0.043
2078     0.043
2097     0.062
2107     0.193
2110     0.121
2135     0.044
2154     0.034
2168     0.052
2195     0.062
2270     0.056
2300     0.038
2310     0.064
2316     0.03
2401     0.075
2416     0.067
2424     0.084
2434     0.075
2440     0.061
2453     0.062
2497     0.412
2553     0.034
2597     0.052
2657     0.071
2672     0.059
2719     0.042
2734     0.033
2780     0.051
2799     0.059
2848     0.049
2861     0.046
2871     0.151
2906     0.064
2907     0.029
2939     0.036
2953     0.084
3000     0.037
3026     0.084
3062     0.064
3078     0.057
3135     0.067
3184     0.071
3202     0.055
3204     0.027
3225     0.042
3231     0.064
3263     0.06
3283     0.047
3290     0.034
3308     0.067
3315     0.091
3342     0.044
3363     0.051
3379     0.084
3399     0.111
3404     0.176
3406     0.121
3423     0.042
3426     0.08
3451     0.064
3492     0.056
3509     0.051
3527     0.084
3553     0.108
3615     0.044
3678     0.057
3703     0.045
3707     0.067
3724     0.051
3725     0.048
3796     0.048
