90
t_index  tf-idf
16     0.001
97     0.051
213     0.047
229     0.023
241     0.105
242     0.162
260     0.114
266     0.071
468     0.081
537     0.044
686     0.071
708     0.045
769     0.03
848     0.071
851     0.044
884     0.042
965     0.053
990     0.227
998     0.142
1021     0.418
1227     0.046
1242     0.127
1268     0.164
1301     0.028
1309     0.064
1331     0.064
1337     0.064
1363     0.035
1392     0.064
1422     0.064
1436     0.08
1460     0.074
1541     0.179
1575     0.047
1578     0.128
1721     0.064
1780     0.057
1850     0.045
1891     0.025
1918     0.036
1940     0.035
1947     0.046
2029     0.05
2068     0.064
2182     0.045
2200     0.057
2213     0.064
2243     0.039
2275     0.064
2302     0.023
2316     0.077
2321     0.118
2475     0.036
2479     0.143
2480     0.047
2588     0.053
2596     0.071
2614     0.04
2647     0.064
2672     0.05
2797     0.064
2848     0.042
2861     0.039
2873     0.057
2879     0.041
2946     0.041
2987     0.064
3021     0.496
3080     0.042
3290     0.029
3331     0.06
3382     0.043
3404     0.249
3463     0.086
3476     0.033
3484     0.057
3486     0.119
3487     0.05
3510     0.053
3511     0.064
3553     0.023
3609     0.06
3675     0.142
3703     0.153
3745     0.071
3775     0.038
3790     0.055
3804     0.037
3805     0.084
3806     0.064
