192
t_index  tf-idf
9     0.0
21     0.021
75     0.023
101     0.048
104     0.055
112     0.02
165     0.026
170     0.072
208     0.4
214     0.034
219     0.055
229     0.011
233     0.027
237     0.029
266     0.034
271     0.025
297     0.024
303     0.02
310     0.02
332     0.04
343     0.025
449     0.017
468     0.02
472     0.018
496     0.053
501     0.046
533     0.031
547     0.019
562     0.045
590     0.025
596     0.025
613     0.011
672     0.026
674     0.026
697     0.025
708     0.087
721     0.034
723     0.024
733     0.034
737     0.029
739     0.025
765     0.034
768     0.029
775     0.049
789     0.02
796     0.034
802     0.026
806     0.021
857     0.018
863     0.032
875     0.034
882     0.018
884     0.02
899     0.049
924     0.025
930     0.023
940     0.02
959     0.031
971     0.029
976     0.034
1005     0.029
1061     0.027
1077     0.018
1081     0.023
1112     0.023
1127     0.049
1133     0.026
1170     0.048
1172     0.029
1238     0.034
1266     0.087
1271     0.031
1287     0.029
1301     0.014
1308     0.02
1310     0.031
1329     0.031
1339     0.034
1358     0.014
1436     0.019
1443     0.025
1444     0.023
1490     0.022
1535     0.031
1541     0.347
1546     0.025
1569     0.037
1578     0.34
1581     0.023
1623     0.03
1708     0.017
1718     0.031
1758     0.021
1769     0.024
1778     0.025
1791     0.019
1804     0.102
1813     0.025
1821     0.025
1838     0.022
1886     0.029
1901     0.076
1909     0.014
1915     0.021
1923     0.034
1924     0.069
1931     0.034
1966     0.034
2010     0.02
2011     0.02
2023     0.034
2057     0.017
2065     0.022
2075     0.018
2078     0.036
2083     0.031
2126     0.137
2139     0.144
2195     0.025
2202     0.034
2206     0.024
2237     0.013
2252     0.026
2255     0.154
2256     0.031
2271     0.026
2285     0.034
2299     0.026
2300     0.016
2304     0.027
2321     0.014
2326     0.034
2327     0.043
2339     0.042
2353     0.031
2416     0.027
2434     0.031
2453     0.025
2455     0.027
2476     0.018
2497     0.051
2537     0.007
2575     0.023
2634     0.024
2679     0.029
2685     0.029
2689     0.034
2709     0.031
2719     0.017
2722     0.025
2757     0.027
2791     0.024
2822     0.023
2838     0.069
2879     0.03
2946     0.02
2968     0.05
2976     0.039
2996     0.029
3026     0.069
3070     0.036
3080     0.02
3102     0.029
3144     0.069
3201     0.027
3202     0.023
3204     0.022
3225     0.017
3232     0.017
3274     0.027
3281     0.034
3299     0.035
3301     0.027
3397     0.031
3404     0.193
3412     0.031
3426     0.016
3447     0.014
3463     0.021
3545     0.036
3553     0.022
3669     0.103
3670     0.025
3675     0.48
3703     0.019
3731     0.022
3733     0.259
3753     0.025
3765     0.02
3766     0.018
3790     0.013
3802     0.025
