101
t_index  tf-idf
7     0.001
33     0.088
66     0.056
69     0.088
112     0.066
164     0.056
408     0.071
437     0.056
466     0.053
483     0.059
498     0.06
501     0.077
519     0.081
526     0.081
554     0.097
586     0.057
625     0.071
693     0.074
712     0.092
734     0.083
738     0.069
764     0.103
769     0.096
854     0.043
874     0.073
882     0.061
893     0.088
900     0.07
908     0.207
911     0.092
971     0.097
1089     0.084
1171     0.079
1182     0.115
1266     0.073
1321     0.097
1408     0.092
1541     0.097
1565     0.079
1578     0.207
1621     0.053
1623     0.05
1692     0.077
1858     0.236
1891     0.04
1894     0.071
1895     0.073
1912     0.088
1918     0.058
2073     0.205
2089     0.079
2116     0.124
2171     0.06
2200     0.092
2237     0.044
2240     0.083
2287     0.097
2302     0.038
2349     0.103
2402     0.066
2467     0.115
2473     0.07
2493     0.141
2503     0.054
2533     0.071
2537     0.046
2540     0.044
2559     0.085
2577     0.097
2589     0.124
2694     0.103
2774     0.061
2879     0.033
2907     0.08
2914     0.092
2978     0.115
3104     0.042
3232     0.057
3234     0.077
3342     0.182
3364     0.088
3377     0.148
3404     0.322
3406     0.166
3423     0.057
3439     0.047
3457     0.074
3474     0.066
3476     0.053
3553     0.074
3567     0.103
3571     0.229
3587     0.081
3644     0.064
3666     0.059
3669     0.069
3675     0.115
3718     0.077
3804     0.119
3805     0.045
3806     0.103
