87
t_index  tf-idf
54     0.001
77     0.197
202     0.179
229     0.036
256     0.051
281     0.2
348     0.063
352     0.093
361     0.099
365     0.068
368     0.14
377     0.085
498     0.058
503     0.186
643     0.029
769     0.046
892     0.088
940     0.063
1008     0.088
1019     0.11
1024     0.093
1060     0.062
1170     0.051
1200     0.06
1208     0.049
1244     0.131
1269     0.221
1270     0.082
1308     0.066
1310     0.199
1321     0.093
1324     0.093
1333     0.088
1348     0.141
1389     0.085
1434     0.218
1493     0.073
1509     0.069
1581     0.074
1601     0.07
1609     0.088
1708     0.108
1838     0.036
1882     0.221
1894     0.069
1937     0.093
2070     0.246
2105     0.11
2107     0.085
2112     0.05
2218     0.083
2243     0.061
2302     0.036
2339     0.068
2511     0.055
2632     0.093
2680     0.056
2692     0.071
2698     0.159
2879     0.096
2882     0.231
2907     0.077
2978     0.11
3000     0.049
3030     0.05
3065     0.11
3111     0.066
3175     0.082
3204     0.035
3228     0.088
3283     0.062
3343     0.255
3357     0.11
3458     0.093
3480     0.082
3504     0.093
3508     0.085
3553     0.036
3588     0.094
3616     0.031
3675     0.11
3703     0.06
3725     0.063
3733     0.056
3738     0.082
3794     0.038
3795     0.05
