113
t_index  tf-idf
5     0.001
75     0.06
124     0.076
150     0.048
192     0.11
193     0.081
201     0.059
266     0.09
404     0.09
418     0.056
466     0.083
476     0.094
486     0.072
562     0.059
592     0.06
596     0.065
630     0.083
674     0.069
710     0.081
743     0.09
793     0.072
874     0.057
900     0.166
914     0.09
971     0.076
1049     0.092
1089     0.033
1092     0.072
1119     0.067
1227     0.058
1295     0.067
1301     0.036
1318     0.069
1319     0.072
1358     0.038
1399     0.069
1426     0.062
1428     0.229
1495     0.127
1541     0.38
1565     0.062
1584     0.081
1688     0.063
1723     0.09
1761     0.173
1793     0.104
1838     0.029
1891     0.031
1899     0.076
1909     0.038
1955     0.09
2047     0.052
2078     0.047
2227     0.067
2281     0.056
2321     0.038
2324     0.139
2326     0.09
2339     0.055
2378     0.076
2440     0.033
2503     0.085
2504     0.069
2525     0.036
2540     0.105
2563     0.09
2589     0.195
2615     0.09
2672     0.063
2719     0.045
2734     0.106
2735     0.069
2748     0.045
2812     0.065
2906     0.139
2907     0.031
2912     0.063
3004     0.098
3062     0.069
3079     0.072
3128     0.059
3153     0.09
3173     0.076
3193     0.081
3225     0.045
3242     0.094
3254     0.081
3299     0.046
3342     0.048
3381     0.155
3404     0.063
3406     0.195
3411     0.067
3423     0.134
3446     0.18
3474     0.052
3520     0.081
3526     0.208
3530     0.072
3536     0.037
3553     0.029
3588     0.039
3629     0.072
3638     0.072
3644     0.05
3655     0.063
3669     0.054
3675     0.18
3749     0.059
3777     0.058
3790     0.035
3797     0.055
3804     0.047
