265
t_index  tf-idf
10     0.0
16     0.018
20     0.034
75     0.018
88     0.026
97     0.04
118     0.022
123     0.009
124     0.023
146     0.083
161     0.019
164     0.013
174     0.042
199     0.017
213     0.036
219     0.022
220     0.055
223     0.055
231     0.022
244     0.026
245     0.02
256     0.013
302     0.017
328     0.02
398     0.046
403     0.025
416     0.046
431     0.025
468     0.047
472     0.014
474     0.022
476     0.014
541     0.02
583     0.055
602     0.033
616     0.014
686     0.027
687     0.027
688     0.02
708     0.07
713     0.06
735     0.026
738     0.05
745     0.021
756     0.021
757     0.034
769     0.023
774     0.022
802     0.021
805     0.02
806     0.017
810     0.019
814     0.023
843     0.027
863     0.013
868     0.019
871     0.019
872     0.018
882     0.015
884     0.016
899     0.026
901     0.019
918     0.016
947     0.027
1009     0.055
1012     0.025
1049     0.014
1050     0.019
1057     0.022
1063     0.018
1076     0.021
1089     0.07
1108     0.019
1120     0.026
1133     0.021
1191     0.021
1211     0.02
1227     0.018
1234     0.018
1240     0.02
1267     0.021
1291     0.018
1301     0.054
1318     0.021
1339     0.027
1348     0.012
1350     0.017
1356     0.027
1358     0.023
1372     0.025
1374     0.025
1377     0.046
1397     0.015
1398     0.17
1421     0.021
1443     0.041
1451     0.045
1467     0.024
1472     0.021
1485     0.027
1491     0.019
1515     0.037
1541     0.37
1565     0.038
1569     0.015
1578     0.47
1584     0.025
1605     0.025
1621     0.026
1623     0.012
1634     0.023
1657     0.025
1664     0.02
1665     0.027
1674     0.02
1718     0.025
1726     0.022
1734     0.014
1737     0.02
1742     0.01
1758     0.034
1775     0.02
1776     0.055
1797     0.027
1850     0.017
1891     0.029
1894     0.017
1902     0.046
1909     0.023
1911     0.027
1914     0.015
1915     0.017
1919     0.022
1940     0.014
1949     0.019
1951     0.018
1957     0.017
1960     0.027
1969     0.025
1974     0.025
2000     0.028
2021     0.02
2037     0.055
2049     0.027
2057     0.042
2065     0.018
2073     0.033
2115     0.035
2124     0.061
2125     0.027
2146     0.027
2154     0.022
2160     0.143
2161     0.012
2226     0.023
2237     0.021
2240     0.02
2243     0.03
2261     0.025
2271     0.021
2288     0.02
2300     0.012
2302     0.009
2321     0.011
2327     0.046
2334     0.022
2339     0.017
2355     0.017
2394     0.019
2456     0.109
2457     0.05
2465     0.019
2475     0.042
2479     0.018
2503     0.013
2514     0.025
2516     0.019
2525     0.033
2536     0.039
2537     0.055
2540     0.011
2548     0.035
2562     0.025
2577     0.023
2628     0.074
2642     0.027
2663     0.025
2673     0.018
2694     0.049
2719     0.014
2726     0.02
2734     0.011
2748     0.111
2758     0.016
2774     0.029
2790     0.027
2799     0.039
2833     0.022
2857     0.028
2860     0.023
2863     0.025
2879     0.111
2883     0.042
2910     0.035
2946     0.064
2955     0.016
2957     0.025
2980     0.023
3042     0.027
3062     0.021
3070     0.043
3076     0.02
3095     0.025
3117     0.027
3157     0.019
3174     0.027
3176     0.027
3187     0.025
3204     0.017
3205     0.082
3207     0.038
3210     0.018
3218     0.067
3251     0.018
3257     0.02
3275     0.02
3288     0.022
3290     0.011
3299     0.014
3342     0.044
3387     0.022
3404     0.405
3406     0.02
3412     0.025
3413     0.017
3442     0.027
3447     0.012
3462     0.069
3463     0.05
3474     0.016
3476     0.025
3493     0.027
3506     0.049
3524     0.04
3565     0.023
3588     0.012
3621     0.019
3640     0.106
3662     0.02
3675     0.357
3688     0.034
3702     0.023
3713     0.023
3714     0.022
3715     0.02
3733     0.014
3737     0.019
3750     0.027
3756     0.02
3760     0.019
3766     0.029
3775     0.161
3785     0.046
3790     0.032
3797     0.017
