(t_index)(term           )(df )
(951    )(dirt           )(5  )
(952    )(disappear      )(3  )
(953    )(disast         )(16 )
(954    )(discharg       )(1  )
(955    )(disclos        )(1  )
(956    )(disclosur      )(2  )
(957    )(discord        )(1  )
(958    )(discov         )(1  )
(959    )(discoveri      )(3  )
(960    )(discuss        )(2  )
(961    )(diseas         )(1  )
(962    )(disgrac        )(6  )
(963    )(disgruntl      )(1  )
(964    )(disintegr      )(1  )
(965    )(dismantl       )(1  )
(966    )(dismiss        )(6  )
(967    )(disobedi       )(3  )
(968    )(dispatch       )(1  )
(969    )(displac        )(1  )
(970    )(display        )(3  )
(971    )(dispos         )(1  )
(972    )(disput         )(3  )
(973    )(dissect        )(1  )
(974    )(distant        )(2  )
(975    )(distraught     )(1  )
(976    )(distribut      )(2  )
(977    )(district       )(1  )
(978    )(disturb        )(1  )
(979    )(dive           )(1  )
(980    )(diver          )(41 )
(981    )(divid          )(1  )
(982    )(djindjic       )(1  )
(983    )(dmitri         )(2  )
(984    )(dna            )(1  )
(985    )(dni            )(1  )
(986    )(dock           )(4  )
(987    )(doctor         )(4  )
(988    )(document       )(4  )
(989    )(dog            )(7  )
(990    )(doggedli       )(1  )
(991    )(dokic          )(4  )
(992    )(dollar         )(2  )
(993    )(domest         )(1  )
(994    )(domin          )(4  )
(995    )(dominik        )(2  )
(996    )(donald         )(2  )
(997    )(donaldson      )(1  )
(998    )(donat          )(2  )
(999    )(done           )(1  )
(1000   )(donor          )(2  )
(1001   )(dont           )(2  )
(1002   )(doom           )(3  )
(1003   )(door           )(1  )
(1004   )(doreen         )(1  )
(1005   )(doubl          )(7  )
(1006   )(doubt          )(3  )
(1007   )(dougal         )(3  )
(1008   )(dour           )(2  )
(1009   )(dover          )(4  )
(1010   )(down           )(1  )
(1011   )(downfal        )(1  )
(1012   )(downpour       )(1  )
(1013   )(downtown       )(2  )
(1014   )(dozen          )(20 )
(1015   )(dr             )(1  )
(1016   )(draft          )(3  )
(1017   )(drag           )(4  )
(1018   )(drama          )(4  )
(1019   )(dramat         )(7  )
(1020   )(drape          )(1  )
(1021   )(draskov        )(1  )
(1022   )(draw           )(3  )
(1023   )(drawn          )(2  )
(1024   )(dream          )(2  )
(1025   )(dress          )(3  )
(1026   )(drew           )(4  )
(1027   )(drill          )(1  )
(1028   )(drive          )(11 )
(1029   )(driven         )(3  )
(1030   )(drizzli        )(1  )
(1031   )(drop           )(3  )
(1032   )(drove          )(4  )
(1033   )(drug           )(2  )
(1034   )(drumbeat       )(2  )
(1035   )(dual           )(1  )
(1036   )(dub            )(1  )
(1037   )(dudley         )(2  )
(1038   )(due            )(4  )
(1039   )(duel           )(1  )
(1040   )(dug            )(3  )
(1041   )(dump           )(2  )
(1042   )(duo            )(1  )
(1043   )(dust           )(3  )
(1044   )(dusti          )(3  )
(1045   )(duti           )(1  )
(1046   )(dwight         )(1  )
(1047   )(dwindl         )(3  )
(1048   )(dynam          )(1  )
(1049   )(eager          )(1  )
(1050   )(earli          )(31 )
(1051   )(earlier        )(9  )
(1052   )(earn           )(1  )
(1053   )(earth          )(4  )
(1054   )(earthquak      )(97 )
(1055   )(earthquakedriven)(1  )
(1056   )(earthquakestricken)(1  )
(1057   )(earthquaketrigg)(2  )
(1058   )(eas            )(4  )
(1059   )(easier         )(1  )
(1060   )(easiest        )(1  )
(1061   )(east           )(22 )
(1062   )(eastern        )(4  )
(1063   )(echo           )(3  )
(1064   )(econom         )(12 )
(1065   )(economi        )(3  )
(1066   )(ecuador        )(1  )
(1067   )(edg            )(2  )
(1068   )(edit           )(1  )
(1069   )(editor         )(1  )
(1070   )(editori        )(9  )
(1071   )(edmond         )(27 )
(1072   )(edmund         )(15 )
(1073   )(edt            )(2  )
(1074   )(educ           )(2  )
(1075   )(edwardo        )(1  )
(1076   )(edwin          )(1  )
(1077   )(effect         )(5  )
(1078   )(effort         )(27 )
(1079   )(egypt          )(2  )
(1080   )(egyptian       )(3  )
(1081   )(ehud           )(1  )
(1082   )(eight          )(10 )
(1083   )(eighteenmonthold)(1  )
(1084   )(eighthseed     )(1  )
(1085   )(eightmonth     )(1  )
(1086   )(eisenhow       )(1  )
(1087   )(either         )(1  )
(1088   )(el             )(31 )
(1089   )(elbow          )(1  )
(1090   )(elect          )(84 )
(1091   )(electionday    )(1  )
(1092   )(elector        )(7  )
(1093   )(electr         )(4  )
(1094   )(electricpow    )(1  )
(1095   )(electron       )(1  )
(1096   )(element        )(2  )
(1097   )(eleven         )(4  )
(1098   )(elia           )(1  )
(1099   )(elimin         )(1  )
(1100   )(elit           )(2  )
(1101   )(elliot         )(1  )
(1102   )(els            )(2  )
(1103   )(elsewher       )(4  )
(1104   )(elton          )(1  )
(1105   )(elus           )(1  )
(1106   )(embargo        )(1  )
(1107   )(embark         )(1  )
(1108   )(embarrass      )(1  )
(1109   )(embassi        )(8  )
(1110   )(embattl        )(3  )
(1111   )(embellish      )(1  )
(1112   )(embrac         )(1  )
(1113   )(emerg          )(11 )
(1114   )(emot           )(3  )
(1115   )(emperor        )(2  )
(1116   )(employe        )(5  )
(1117   )(empti          )(1  )
(1118   )(emul           )(1  )
(1119   )(en             )(1  )
(1120   )(encourag       )(6  )
(1121   )(end            )(39 )
(1122   )(endang         )(1  )
(1123   )(endem          )(1  )
(1124   )(endur          )(1  )
(1125   )(enemi          )(9  )
(1126   )(energ          )(1  )
(1127   )(energi         )(2  )
(1128   )(enforc         )(7  )
(1129   )(engin          )(5  )
(1130   )(engineerman    )(1  )
(1131   )(english        )(2  )
(1132   )(enigmat        )(1  )
(1133   )(enorm          )(4  )
(1134   )(enough         )(5  )
(1135   )(enqvist        )(1  )
(1136   )(enter          )(10 )
(1137   )(entir          )(6  )
(1138   )(entomb         )(3  )
(1139   )(entrench       )(2  )
(1140   )(envoy          )(1  )
(1141   )(epicent        )(3  )
(1142   )(epidem         )(1  )
(1143   )(epiphani       )(1  )
(1144   )(equip          )(6  )
(1145   )(er             )(1  )
(1146   )(era            )(5  )
(1147   )(eras           )(3  )
(1148   )(eri            )(1  )
(1149   )(eric           )(1  )
(1150   )(errat          )(1  )
(1151   )(erupt          )(4  )
(1152   )(escal          )(1  )
(1153   )(escap          )(42 )
(1154   )(escape         )(7  )
(1155   )(escort         )(1  )
(1156   )(escud          )(1  )
(1157   )(especi         )(1  )
(1158   )(espi           )(1  )
(1159   )(espionag       )(19 )
(1160   )(estim          )(12 )
(1161   )(ethnic         )(5  )
(1162   )(eu             )(1  )
(1163   )(eugen          )(1  )
(1164   )(euphoria       )(2  )
(1165   )(european       )(5  )
(1166   )(evacu          )(2  )
(1167   )(evad           )(2  )
(1168   )(evan           )(2  )
(1169   )(evapor         )(1  )
(1170   )(eve            )(9  )
(1171   )(even           )(43 )
(1172   )(event          )(9  )
(1173   )(eventu         )(3  )
(1174   )(ever           )(3  )
(1175   )(everi          )(4  )
(1176   )(evershrink     )(2  )
(1177   )(evert          )(1  )
(1178   )(everyday       )(1  )
(1179   )(everyon        )(6  )
(1180   )(everyth        )(2  )
(1181   )(evid           )(13 )
(1182   )(exact          )(1  )
(1183   )(exactli        )(1  )
(1184   )(exam           )(1  )
(1185   )(examin         )(4  )
(1186   )(exampl         )(2  )
(1187   )(exceed         )(1  )
(1188   )(excerpt        )(1  )
(1189   )(exclam         )(2  )
(1190   )(exclud         )(2  )
(1191   )(exclus         )(2  )
(1192   )(execut         )(5  )
(1193   )(exercis        )(3  )
(1194   )(exhaust        )(8  )
(1195   )(exil           )(4  )
(1196   )(exist          )(1  )
(1197   )(exit           )(2  )
(1198   )(exoner         )(1  )
(1199   )(expand         )(1  )
(1200   )(expatri        )(1  )
(1201   )(expect         )(24 )
(1202   )(experi         )(1  )
(1203   )(experienc      )(1  )
(1204   )(expert         )(9  )
(1205   )(explan         )(1  )
(1206   )(explod         )(3  )
(1207   )(exploit        )(1  )
(1208   )(explor         )(2  )
(1209   )(explos         )(50 )
(1210   )(expos          )(2  )
(1211   )(expresid       )(2  )
(1212   )(express        )(6  )
(1213   )(exspi          )(5  )
(1214   )(extend         )(4  )
(1215   )(extens         )(1  )
(1216   )(extent         )(1  )
(1217   )(extern         )(1  )
(1218   )(extra          )(2  )
(1219   )(extradit       )(2  )
(1220   )(extraordinari  )(1  )
(1221   )(extravagance:  )(1  )
(1222   )(extrem         )(1  )
(1223   )(extremist      )(1  )
(1224   )(exwif          )(1  )
(1225   )(eye            )(3  )
(1226   )(fabric         )(1  )
(1227   )(facad          )(2  )
(1228   )(face           )(12 )
(1229   )(facil          )(2  )
(1230   )(fact           )(3  )
(1231   )(faction        )(3  )
(1232   )(factor         )(1  )
(1233   )(factori        )(2  )
(1234   )(fade           )(5  )
(1235   )(fail           )(12 )
(1236   )(failur         )(2  )
(1237   )(faint          )(4  )
(1238   )(faintli        )(1  )
(1239   )(fair           )(1  )
(1240   )(fake           )(1  )
(1241   )(fall           )(7  )
(1242   )(fallen         )(1  )
(1243   )(famili         )(17 )
(1244   )(fan            )(1  )
(1245   )(far            )(17 )
(1246   )(farera         )(1  )
(1247   )(farewel        )(6  )
(1248   )(farina         )(1  )
(1249   )(fascin         )(1  )
(1250   )(fashion        )(1  )
(1251   )(fast           )(3  )
(1252   )(fatal          )(2  )
(1253   )(fate           )(2  )
(1254   )(father         )(4  )
(1255   )(fatigu         )(1  )
(1256   )(fault          )(3  )
(1257   )(favor          )(3  )
(1258   )(favorit        )(1  )
(1259   )(fax            )(1  )
(1260   )(fbi            )(27 )
(1261   )(fd             )(1  )
(1262   )(fear           )(8  )
(1263   )(fearless       )(1  )
(1264   )(feat           )(2  )
(1265   )(featur         )(1  )
(1266   )(fed            )(2  )
(1267   )(feder          )(13 )
(1268   )(federico       )(5  )
(1269   )(feel           )(5  )
(1270   )(feet           )(1  )
(1271   )(fell           )(6  )
(1272   )(fellow         )(2  )
(1273   )(felon          )(1  )
(1274   )(felt           )(3  )
(1275   )(fernand        )(1  )
(1276   )(fernandez      )(1  )
(1277   )(feroci         )(1  )
(1278   )(fewer          )(1  )
(1279   )(fidel          )(1  )
(1280   )(field          )(3  )
(1281   )(fierc          )(1  )
(1282   )(fifteen        )(1  )
(1283   )(fifth          )(3  )
(1284   )(fight          )(12 )
(1285   )(figur          )(5  )
(1286   )(file           )(3  )
(1287   )(filipov        )(1  )
(1288   )(fill           )(3  )
(1289   )(fillmor        )(1  )
(1290   )(film           )(2  )
(1291   )(final          )(54 )
(1292   )(financi        )(11 )
(1293   )(find           )(27 )
(1294   )(fine           )(1  )
(1295   )(finish         )(2  )
(1296   )(fire           )(6  )
(1297   )(firefight      )(1  )
(1298   )(fireman        )(1  )
(1299   )(firm           )(1  )
(1300   )(firmer         )(1  )
(1301   )(firmli         )(1  )
(1302   )(first          )(69 )
(1303   )(firstround     )(4  )
(1304   )(fish           )(2  )
(1305   )(fishermen      )(1  )
(1306   )(fist           )(2  )
(1307   )(fit            )(2  )
(1308   )(fittingli      )(1  )
(1309   )(five           )(17 )
(1310   )(fix            )(2  )
(1311   )(flag           )(2  )
(1312   )(flagdrap       )(3  )
(1313   )(flagwav        )(1  )
(1314   )(flair          )(1  )
(1315   )(flame          )(3  )
(1316   )(flank          )(2  )
(1317   )(flashbulb      )(1  )
(1318   )(flatten        )(1  )
(1319   )(fled           )(5  )
(1320   )(flee           )(4  )
(1321   )(fleet          )(4  )
(1322   )(flew           )(3  )
(1323   )(fli            )(2  )
(1324   )(flier          )(1  )
(1325   )(flight         )(3  )
(1326   )(fling          )(1  )
(1327   )(flintoff       )(1  )
(1328   )(flip           )(1  )
(1329   )(flood          )(4  )
(1330   )(floor          )(2  )
(1331   )(flore          )(2  )
(1332   )(florida        )(2  )
(1333   )(flower         )(1  )
(1334   )(flown          )(4  )
(1335   )(fluid          )(1  )
(1336   )(flurri         )(1  )
(1337   )(focu           )(3  )
(1338   )(focus          )(2  )
(1339   )(focuss         )(1  )
(1340   )(foe            )(1  )
(1341   )(fog            )(1  )
(1342   )(foggi          )(2  )
(1343   )(foil           )(2  )
(1344   )(follow         )(32 )
(1345   )(following:     )(1  )
(1346   )(food           )(3  )
(1347   )(foot           )(3  )
(1348   )(foothil        )(1  )
(1349   )(forc           )(56 )
(1350   )(forecast       )(2  )
(1351   )(foreign        )(16 )
(1352   )(foremost       )(1  )
(1353   )(forens         )(1  )
(1354   )(forese         )(1  )
(1355   )(forgotten      )(1  )
(1356   )(form           )(3  )
(1357   )(formal         )(1  )
(1358   )(format         )(1  )
(1359   )(former         )(57 )
(1360   )(formerli       )(1  )
(1361   )(forward        )(4  )
(1362   )(fought         )(4  )
(1363   )(found          )(24 )
(1364   )(four           )(36 )
(1365   )(fourday        )(1  )
(1366   )(fourstori      )(1  )
(1367   )(fourth         )(4  )
(1368   )(fourwheeldr    )(1  )
(1369   )(fox            )(1  )
(1370   )(fragil         )(1  )
(1371   )(fragment       )(1  )
(1372   )(frame          )(1  )
(1373   )(franc          )(2  )
(1374   )(franci         )(1  )
(1375   )(francisco      )(2  )
(1376   )(frank          )(3  )
(1377   )(frantic        )(3  )
(1378   )(fraud          )(3  )
(1379   )(fred           )(1  )
(1380   )(free           )(7  )
(1381   )(freed          )(1  )
(1382   )(freedom        )(6  )
(1383   )(freeh          )(2  )
(1384   )(freemarket     )(1  )
(1385   )(french         )(3  )
(1386   )(frenchman      )(5  )
(1387   )(frequent       )(1  )
(1388   )(fresh          )(2  )
(1389   )(freshman       )(1  )
(1390   )(friday         )(74 )
(1391   )(friend         )(4  )
(1392   )(frigat         )(1  )
(1393   )(front          )(2  )
(1394   )(fruit          )(1  )
(1395   )(frustrat       )(1  )
(1396   )(ft             )(1  )
(1397   )(fuel           )(2  )
(1398   )(fugit          )(26 )
(1399   )(fujimori       )(39 )
(1400   )(full           )(5  )
(1401   )(fulli          )(3  )
(1402   )(function       )(1  )
(1403   )(funer          )(2  )
(1404   )(furi           )(3  )
(1405   )(furious        )(2  )
(1406   )(fuss           )(1  )
(1407   )(futil          )(2  )
(1408   )(futur          )(3  )
(1409   )(ga             )(4  )
(1410   )(gabon          )(1  )
(1411   )(gain           )(2  )
(1412   )(gallust        )(1  )
(1413   )(game           )(5  )
(1414   )(gang           )(5  )
(1415   )(gangsterstyl   )(1  )
(1416   )(gap            )(2  )
(1417   )(gape           )(2  )
(1418   )(garcia         )(2  )
(1419   )(garden         )(2  )
(1420   )(gari           )(1  )
(1421   )(gateway        )(1  )
(1422   )(gather         )(5  )
(1423   )(gave           )(2  )
(1424   )(gavlak         )(1  )
(1425   )(gay            )(1  )
(1426   )(gazett         )(1  )
(1427   )(gbagbo         )(9  )
(1428   )(gen            )(6  )
(1429   )(gener          )(31 )
(1430   )(geo            )(1  )
(1431   )(geofferi       )(1  )
(1432   )(geolog         )(1  )
(1433   )(georg          )(32 )
(1434   )(german         )(2  )
(1435   )(germani        )(11 )
(1436   )(gestur         )(1  )
(1437   )(get            )(21 )
(1438   )(getaway        )(1  )
(1439   )(giant          )(1  )
(1440   )(gift           )(3  )
(1441   )(giggl          )(1  )
(1442   )(ginger         )(1  )
(1443   )(girl           )(1  )
(1444   )(give           )(6  )
(1445   )(given          )(11 )
(1446   )(gizbert        )(1  )
(1447   )(glascoff       )(1  )
(1448   )(glass          )(1  )
(1449   )(glimps         )(1  )
(1450   )(glisten        )(1  )
(1451   )(glow           )(2  )
(1452   )(go             )(23 )
(1453   )(goal           )(1  )
(1454   )(goal:          )(1  )
(1455   )(god            )(1  )
(1456   )(goddess        )(1  )
(1457   )(godfear        )(1  )
(1458   )(goe            )(4  )
(1459   )(goin           )(4  )
(1460   )(gone           )(3  )
(1461   )(good           )(29 )
(1462   )(goodby         )(1  )
(1463   )(goodwil        )(1  )
(1464   )(gop            )(2  )
(1465   )(gore           )(17 )
(1466   )(got            )(8  )
(1467   )(gov            )(21 )
(1468   )(govern         )(54 )
(1469   )(governor       )(20 )
(1470   )(grand          )(11 )
(1471   )(grant          )(6  )
(1472   )(graphic        )(1  )
(1473   )(grave          )(5  )
(1474   )(great          )(8  )
(1475   )(greater        )(2  )
(1476   )(greenwood      )(1  )
(1477   )(greet          )(2  )
(1478   )(greg           )(1  )
(1479   )(gregor         )(3  )
(1480   )(gregorio       )(1  )
(1481   )(grenad         )(2  )
(1482   )(grief          )(1  )
(1483   )(griev          )(1  )
(1484   )(grim           )(4  )
(1485   )(grind          )(1  )
(1486   )(grip           )(1  )
(1487   )(gritti         )(1  )
(1488   )(grosanc        )(1  )
(1489   )(grosjean       )(2  )
(1490   )(ground         )(9  )
(1491   )(group          )(12 )
(1492   )(grow           )(9  )
(1493   )(gruel          )(3  )
(1494   )(guard          )(11 )
(1495   )(guatemala      )(4  )
(1496   )(guei           )(8  )
(1497   )(guerrilla      )(2  )
(1498   )(guid           )(2  )
(1499   )(guidedmissil   )(1  )
(1500   )(guidelin       )(1  )
(1501   )(guilti         )(5  )
(1502   )(gujarat        )(11 )
(1503   )(gulf           )(18 )
(1504   )(gun            )(5  )
(1505   )(gunn           )(1  )
(1506   )(guntot         )(1  )
(1507   )(gustavo        )(3  )
(1508   )(hagu           )(1  )
(1509   )(halevi         )(1  )
(1510   )(half           )(14 )
(1511   )(hall           )(2  )
(1512   )(halliburton    )(1  )
(1513   )(halt           )(2  )
(1514   )(hammer         )(1  )
(1515   )(hamper         )(3  )
(1516   )(hand           )(10 )
(1517   )(handsom        )(1  )
(1518   )(handwring      )(2  )
(1519   )(hang           )(2  )
(1520   )(hangar         )(1  )
(1521   )(hanoi          )(6  )
(1522   )(hanov          )(1  )
(1523   )(happen         )(6  )
(1524   )(harass         )(1  )
(1525   )(harbor         )(8  )
(1526   )(hard           )(6  )
(1527   )(harder         )(2  )
(1528   )(hardest        )(1  )
(1529   )(hardestfought  )(1  )
(1530   )(hardesthit     )(1  )
(1531   )(hardli         )(3  )
(1532   )(hardship       )(1  )
(1533   )(hardwar        )(1  )
(1534   )(haren          )(1  )
(1535   )(harri          )(1  )
(1536   )(harsh          )(2  )
(1537   )(hatch          )(2  )
(1538   )(haunt          )(4  )
(1539   )(haven          )(3  )
(1540   )(havent         )(2  )
(1541   )(haviar         )(1  )
(1542   )(he             )(3  )
(1543   )(head           )(19 )
(1544   )(headlin        )(14 )
(1545   )(heal           )(1  )
(1546   )(health         )(3  )
(1547   )(hear           )(6  )
(1548   )(heard          )(8  )
(1549   )(hears          )(1  )
(1550   )(hearst         )(2  )
(1551   )(heart          )(3  )
(1552   )(heartbeat      )(1  )
(1553   )(heartbreak     )(1  )
(1554   )(hearten        )(1  )
(1555   )(heartfelt      )(2  )
(1556   )(heat           )(4  )
(1557   )(heavi          )(4  )
(1558   )(heavili        )(3  )
(1559   )(heavylift      )(1  )
(1560   )(hed            )(2  )
(1561   )(heed           )(2  )
(1562   )(heel           )(1  )
(1563   )(height         )(2  )
(1564   )(heighten       )(1  )
(1565   )(heiress        )(1  )
(1566   )(held           )(9  )
(1567   )(helicopt       )(3  )
(1568   )(hell           )(1  )
(1569   )(hello          )(4  )
(1570   )(help           )(24 )
(1571   )(hem            )(1  )
(1572   )(henhous        )(1  )
(1573   )(henri          )(3  )
(1574   )(herald         )(2  )
(1575   )(herculean      )(1  )
(1576   )(here           )(11 )
(1577   )(hernandez      )(1  )
(1578   )(hero           )(1  )
(1579   )(hi             )(2  )
(1580   )(hid            )(1  )
(1581   )(hide           )(1  )
(1582   )(high           )(10 )
(1583   )(higher         )(4  )
(1584   )(highest        )(9  )
(1585   )(highli         )(2  )
(1586   )(highpow        )(2  )
(1587   )(highprofil     )(1  )
(1588   )(highspe        )(2  )
(1589   )(highway        )(2  )
(1590   )(hill           )(4  )
(1591   )(hillari        )(10 )
(1592   )(hillsid        )(1  )
(1593   )(hingi          )(11 )
(1594   )(histor         )(14 )
(1595   )(histori        )(8  )
(1596   )(historymak     )(3  )
(1597   )(hit            )(5  )
(1598   )(ho             )(6  )
(1599   )(hoan           )(1  )
(1600   )(hobbl          )(1  )
(1601   )(hold           )(11 )
(1602   )(hole           )(13 )
(1603   )(holiday        )(5  )
(1604   )(home           )(62 )
(1605   )(homecom        )(2  )
(1606   )(homeland       )(2  )
(1607   )(homeless       )(3  )
(1608   )(honesti        )(2  )
(1609   )(honey          )(1  )
(1610   )(honor          )(4  )
(1611   )(hope           )(29 )
(1612   )(horn           )(1  )
(1613   )(horrif         )(2  )
(1614   )(horrifi        )(2  )
(1615   )(horseback      )(1  )
(1616   )(hospit         )(11 )
(1617   )(hoss           )(1  )
(1618   )(host           )(2  )
(1619   )(hostil         )(1  )
(1620   )(hotel          )(9  )
(1621   )(hotli          )(2  )
(1622   )(hour           )(42 )
(1623   )(houri          )(1  )
(1624   )(hous           )(53 )
(1625   )(housekeep      )(1  )
(1626   )(houston        )(1  )
(1627   )(hover          )(1  )
(1628   )(howard         )(1  )
(1629   )(howev          )(3  )
(1630   )(hrbati         )(2  )
(1631   )(huber          )(1  )
(1632   )(huge           )(6  )
(1633   )(huh!           )(1  )
(1634   )(hull           )(8  )
(1635   )(human          )(3  )
(1636   )(humanitarian   )(3  )
(1637   )(humid          )(1  )
(1638   )(humili         )(2  )
(1639   )(hundr          )(20 )
(1640   )(hung           )(2  )
(1641   )(hungri         )(1  )
(1642   )(hunt           )(4  )
(1643   )(hurt           )(3  )
(1644   )(husband        )(3  )
(1645   )(hyderabad      )(1  )
(1646   )(hymlek         )(1  )
(1647   )(hyperinfl      )(1  )
(1648   )(hysteria       )(1  )
(1649   )(idea           )(1  )
(1650   )(ident          )(4  )
(1651   )(identif        )(4  )
(1652   )(identifi       )(8  )
(1653   )(idyl           )(3  )
(1654   )(ignacio        )(1  )
(1655   )(iii            )(1  )
(1656   )(ili            )(1  )
(1657   )(ill            )(1  )
(1658   )(illeg          )(2  )
(1659   )(illfat         )(1  )
(1660   )(illinoi        )(1  )
(1661   )(illustri       )(2  )
(1662   )(im             )(27 )
(1663   )(imag           )(3  )
(1664   )(imagin         )(1  )
(1665   )(immedi         )(6  )
(1666   )(immigr         )(1  )
(1667   )(immin          )(1  )
(1668   )(imparti        )(1  )
(1669   )(impass         )(2  )
(1670   )(impeach        )(1  )
(1671   )(impeech        )(1  )
(1672   )(imperson       )(1  )
(1673   )(implement      )(2  )
(1674   )(implicit       )(1  )
(1675   )(import         )(6  )
(1676   )(impos          )(2  )
(1677   )(imposs         )(1  )
(1678   )(impress        )(1  )
(1679   )(improv         )(9  )
(1680   )(improvis       )(1  )
(1681   )(inadequ        )(2  )
(1682   )(inaugur        )(1  )
(1683   )(incid          )(3  )
(1684   )(includ         )(22 )
(1685   )(inclus         )(1  )
(1686   )(incom          )(1  )
(1687   )(incompat       )(1  )
(1688   )(incomplet      )(2  )
(1689   )(increas        )(8  )
(1690   )(increasingli   )(3  )
(1691   )(incred         )(1  )
(1692   )(incumb         )(4  )
(1693   )(independ       )(10 )
(1694   )(india          )(53 )
(1695   )(indian         )(14 )
(1696   )(indic          )(2  )
(1697   )(indict         )(2  )
(1698   )(indit          )(1  )
(1699   )(individu       )(1  )
(1700   )(inevit         )(2  )
(1701   )(infanc         )(1  )
(1702   )(infant         )(1  )
(1703   )(infect         )(1  )
(1704   )(infiltr        )(1  )
(1705   )(influenc       )(2  )
(1706   )(inform         )(13 )
(1707   )(initi          )(6  )
(1708   )(inject         )(1  )
(1709   )(injur          )(36 )
(1710   )(injuri         )(3  )
(1711   )(inland         )(1  )
(1712   )(inmat          )(19 )
(1713   )(inn            )(1  )
(1714   )(inner          )(2  )
(1715   )(innoc          )(2  )
(1716   )(inquiri        )(5  )
(1717   )(inquisitor     )(1  )
(1718   )(insid          )(11 )
(1719   )(insist         )(2  )
(1720   )(inspir         )(2  )
(1721   )(instabl        )(1  )
(1722   )(instead        )(2  )
(1723   )(instruct       )(1  )
(1724   )(instrument     )(1  )
(1725   )(insurg         )(3  )
(1726   )(intellig       )(15 )
(1727   )(intend         )(4  )
(1728   )(intens         )(3  )
(1729   )(intensifi      )(5  )
(1730   )(intent         )(4  )
(1731   )(interact       )(1  )
(1732   )(interest       )(3  )
(1733   )(interim        )(5  )
(1734   )(interior       )(1  )
(1735   )(intern         )(28 )
(1736   )(interpret      )(1  )
(1737   )(interrupt      )(2  )
(1738   )(interview      )(6  )
(1739   )(introduc       )(2  )
(1740   )(intrus         )(1  )
(1741   )(intyr          )(1  )
(1742   )(invalid        )(4  )
(1743   )(investig       )(76 )
(1744   )(invigor        )(1  )
(1745   )(invit          )(1  )
(1746   )(involv         )(5  )
(1747   )(iran           )(1  )
(1748   )(iraqi          )(1  )
(1749   )(iron           )(4  )
(1750   )(ironfist       )(4  )
(1751   )(irv            )(1  )
(1752   )(isff           )(1  )
(1753   )(islam          )(10 )
(1754   )(isnt           )(1  )
(1755   )(isol           )(4  )
(1756   )(isra           )(7  )
(1757   )(israel         )(5  )
(1758   )(israelipalestinian)(1  )
(1759   )(issu           )(15 )
(1760   )(item           )(1  )
(1761   )(ivoirian       )(2  )
(1762   )(ivori          )(38 )
(1763   )(ivorian        )(2  )
(1764   )(jaar           )(2  )
(1765   )(jacqu          )(2  )
(1766   )(jag            )(1  )
(1767   )(jail           )(3  )
(1768   )(jailbreak      )(1  )
(1769   )(jam            )(3  )
(1770   )(jame           )(9  )
(1771   )(jami           )(1  )
(1772   )(jan            )(6  )
(1773   )(jana           )(1  )
(1774   )(janet          )(1  )
(1775   )(januari        )(2  )
(1776   )(japan          )(7  )
(1777   )(japanes        )(1  )
(1778   )(javier         )(2  )
(1779   )(jean           )(6  )
(1780   )(jefferson      )(2  )
(1781   )(jelena         )(4  )
(1782   )(jennif         )(12 )
(1783   )(jerom          )(2  )
(1784   )(jerusalem      )(2  )
(1785   )(jiang          )(2  )
(1786   )(jim            )(13 )
(1787   )(jimmi          )(1  )
(1788   )(job            )(2  )
(1789   )(jobless        )(1  )
(1790   )(jockey         )(1  )
(1791   )(joe            )(2  )
(1792   )(john           )(22 )
(1793   )(johnson        )(1  )
(1794   )(join           )(19 )
(1795   )(joint          )(2  )
(1796   )(jolt           )(1  )
(1797   )(jonathan       )(1  )
(1798   )(jorg           )(1  )
(1799   )(jose           )(1  )
(1800   )(journalist     )(2  )
(1801   )(journey        )(9  )
(1802   )(jr             )(4  )
(1803   )(juan           )(1  )
(1804   )(juana          )(1  )
(1805   )(judg           )(6  )
(1806   )(judi           )(1  )
(1807   )(jug            )(1  )
(1808   )(julio          )(1  )
(1809   )(jumbl          )(1  )
(1810   )(junk           )(2  )
(1811   )(junta          )(11 )
(1812   )(jurenovich     )(2  )
(1813   )(juri           )(1  )
(1814   )(justic         )(6  )
(1815   )(justice:       )(1  )
(1816   )(justin         )(3  )
(1817   )(kafelnikov     )(3  )
(1818   )(kahn           )(3  )
(1819   )(kathleen       )(1  )
(1820   )(keedysvil      )(1  )
(1821   )(keeler         )(1  )
(1822   )(keep           )(6  )
(1823   )(keith          )(4  )
(1824   )(ken            )(1  )
(1825   )(kendel         )(1  )
(1826   )(kenedi         )(2  )
(1827   )(kennedi        )(1  )
(1828   )(kenneth        )(1  )
(1829   )(kent           )(2  )
(1830   )(kenya          )(2  )
(1831   )(kept           )(2  )
(1832   )(kera           )(1  )
(1833   )(kerri          )(1  )
(1834   )(key            )(6  )
(1835   )(khou           )(1  )
(1836   )(kick           )(2  )
(1837   )(kid            )(2  )
(1838   )(kidnap         )(3  )
(1839   )(kill           )(112)
(1840   )(killer         )(4  )
(1841   )(kilomet        )(1  )
(1842   )(kim            )(2  )
(1843   )(king           )(2  )
(1844   )(kit            )(1  )
(1845   )(kktvtv         )(1  )
(1846   )(kline          )(2  )
(1847   )(knack          )(2  )
(1848   )(knifeedg       )(1  )
(1849   )(knock          )(1  )
(1850   )(knot           )(1  )
(1851   )(know           )(13 )
(1852   )(knowledg       )(1  )
