t_index    term            df        
1801       christma        48        
1802       christmas       1         
1803       christoph       6         
1804       chromium        1         
1805       chronic         3         
1806       chronicl        6         
1807       chteau          1         
1808       chuck           1         
1809       chucki          1         
1810       chum            1         
1811       chun            1         
1812       church          10        
1813       churchil        1         
1814       churn           1         
1815       cia             22        
1816       cider           2         
1817       cielo           1         
1818       cigar           1         
1819       cigarsmok       1         
1820       cinderella      2         
1821       cindi           4         
1822       cinema          3         
1823       cinemat         4         
1824       cinqu           1         
1825       circa           2         
1826       circl           5         
1827       circu           4         
1828       circumst        12        
1829       circumstanti    2         
1830       cirqu           1         
1831       cite            1         
1832       citi            117       
1833       citizen         11        
1834       citizenri       1         
1835       cityst          2         
1836       civic           1         
1837       civil           28        
1838       civilian        5         
1839       civillaw        1         
1840       claim           17        
1841       clair           9         
1842       clan            5         
1843       clandestin      1         
1844       clarenc         3         
1845       clari           1         
1846       claric          3         
1847       clarissa        1         
1848       clark           6         
1849       clash           7         
1850       class           26        
1851       classic         18        
1852       classif         1         
1853       classifi        4         
1854       classmat        11        
1855       clau            4         
1856       claud           4         
1857       claudia         2         
1858       claudio         1         
1859       claus           2         
1860       clauscarol      1         
1861       clauss          1         
1862       clay            1         
1863       clayton         1         
1864       clean           11        
1865       cleancut        1         
1866       cleaner         1         
1867       cleans          3         
1868       clear           23        
1869       clearer         1         
1870       cleari          1         
1871       clement         2         
1872       clementin       2         
1873       clench          1         
1874       cleopatra       1         
1875       cleric          2         
1876       clerk           11        
1877       clever          8         
1878       cleverli        1         
1879       client          12        
1880       clientel        1         
1881       clientl         1         
1882       cliff           1         
1883       clifford        1         
1884       climat          1         
1885       climax          1         
1886       climb           6         
1887       climber         3         
1888       cling           1         
1889       clinic          7         
1890       clinton         1         
1891       cliqu           3         
1892       clive           2         
1893       cloak           1         
1894       clock           4         
1895       clockkey        1         
1896       clockwork       1         
1897       clone           5         
1898       clooney         3         
1899       clopin          1         
1900       close           44        
1901       closeknit       1         
1902       closer          17        
1903       closest         7         
1904       closetgay       1         
1905       closur          4         
1906       cloth           3         
1907       cloud           3         
1908       cloudi          1         
1909       clover          1         
1910       cloverdal       1         
1911       cloverfield     1         
1912       clown           5         
1913       clu             1         
1914       club            13        
1915       clubhous        1         
1916       clue            17        
1917       clueless        3         
1918       clumsi          4         
1919       cluster         1         
1920       clutch          1         
1921       clyde           2         
1922       cmdr            1         
1923       coach           14        
1924       coal            1         
1925       coast           7         
1926       coastal         2         
1927       coaster         1         
1928       coastlin        1         
1929       coat            1         
1930       coax            1         
1931       cobb            4         
1932       cobra           2         
1933       cocain          4         
1934       cocained        1         
1935       cochran         2         
1936       cockburn        1         
1937       cocki           6         
1938       cockroach       3         
1939       cocktail        1         
1940       cocktailparti   1         
1941       code            13        
1942       codebreak       1         
1943       codenam         1         
1944       codepend        1         
1945       coerc           4         
1946       coexist         1         
1947       coffe           2         
1948       coffeelov       1         
1949       coffer          1         
1950       coffin          1         
1951       cofi            1         
1952       cofound         1         
1953       cog             1         
1954       cogburn         1         
1955       cohaagen        1         
1956       cohen           1         
1957       cohl            1         
1958       cohort          2         
1959       coil            1         
1960       coin            4         
1961       coincid         1         
1962       coincident      3         
1963       coke            1         
1964       cokedout        1         
1965       cokehead        1         
1966       col             8         
1967       cold            14        
1968       coldbutintellectu 1         
1969       coldplay        1         
1970       cole            8         
1971       coleman         2         
1972       colin           3         
1973       collabor        3         
1974       collaps         7         
1975       collar          1         
1976       colleagu        14        
1977       collect         13        
1978       collector       4         
1979       colleg          37        
1980       collegi         1         
1981       collegian       1         
1982       collett         1         
1983       colli           1         
1984       collier         1         
1985       collieri        1         
1986       collin          5         
1987       collinsport     1         
1988       collinwood      1         
1989       collis          9         
1990       colombia        1         
1991       colombian       2         
1992       colombo         1         
1993       colon           1         
1994       colonel         12        
1995       coloni          9         
1996       colonist        1         
1997       color           9         
1998       colorado        3         
1999       coloto          1         
2000       colour          1         
2001       colt            1         
2002       colter          1         
2003       colton          1         
2004       coltran         2         
2005       column          4         
2006       columnist       1         
2007       coma            5         
2008       comanch         1         
2009       comatos         2         
2010       combat          12        
2011       combin          11        
2012       comeback        2         
2013       comedi          17        
2014       comedian        2         
2015       comedyadventur  1         
2016       comedyoferror   1         
2017       comet           1         
2018       comfort         9         
2019       comic           16        
2020       comingofag      1         
2021       command         27        
2022       commando        3         
2023       commenc         1         
2024       commerci        4         
2025       commiss         2         
2026       commission      1         
2027       commit          36        
2028       committe        4         
2029       commod          1         
2030       commodu         1         
2031       common          16        
2032       commonplac      1         
2033       commonwealth    1         
2034       commun          35        
2035       communion       1         
2036       communist       1         
2037       commut          2         
2038       compani         51        
2039       companion       13        
2040       companionship   2         
2041       companyst       1         
2042       compar          2         
2043       compart         1         
2044       compass         3         
2045       compassion      2         
2046       compatriot      1         
2047       compel          3         
2048       compens         1         
2049       compet          14        
2050       competit        17        
2051       competitor      5         
2052       compil          2         
2053       complac         1         
2054       complement      1         
2055       complet         36        
2056       complex         11        
2057       complic         21        
2058       comport         1         
2059       compos          6         
2060       compound        5         
2061       compris         4         
2062       compromis       5         
2063       compton         1         
2064       compuls         1         
2065       comput          18        
2066       computergeniu   1         
2067       computersavvi   1         
2068       comrad          5         
2069       conan           1         
2070       conartist       1         
2071       conced          2         
2072       conceit         3         
2073       concentr        6         
2074       concern         12        
2075       concert         1         
2076       concierg        1         
2077       conclud         4         
2078       conclus         5         
2079       concoct         1         
2080       concord         1         
2081       concurr         3         
2082       concuss         1         
2083       condamn         1         
2084       condemn         2         
2085       condit          11        
2086       condom          1         
2087       conduct         6         
2088       conduir         1         
2089       conduit         1         
2090       coney           1         
2091       confeder        2         
2092       confess         7         
2093       confianc        1         
2094       confid          15        
2095       confidenti      1         
2096       confin          7         
2097       confirm         6         
2098       confisc         1         
2099       conflict        20        
2100       confluenc       1         
2101       conform         2         
2102       confront        38        
2103       confus          15        
2104       cong            1         
2105       congeni         1         
2106       conglomer       1         
2107       congress        2         
2108       congression     2         
2109       congressman     3         
2110       conjoin         1         
2111       conjunct        1         
2112       conjur          1         
2113       conlon          1         
2114       conman          1         
2115       conmen          1         
2116       connect         23        
2117       connecticut     2         
2118       connelli        1         
2119       conner          1         
2120       conneri         1         
2121       conni           2         
2122       conniv          2         
2123       connolli        1         
2124       connor          8         
2125       conor           1         
2126       conquer         5         
2127       conquistador    1         
2128       conrad          2         
2129       conroy          1         
2130       conscienc       4         
2131       conscienti      1         
2132       conscious       4         
2133       conscript       2         
2134       consequ         16        
2135       conserv         4         
2136       consid          18        
2137       consign         1         
2138       consist         9         
2139       consol          1         
2140       consolid        1         
2141       consort         1         
2142       conspir         4         
2143       conspiraci      6         
2144       constabl        2         
2145       constant        11        
2146       constantin      1         
2147       constantli      12        
2148       constitut       3         
2149       constraint      1         
2150       construct       9         
2151       consul          2         
2152       consult         3         
2153       consum          11        
2154       consumpt        1         
2155       contact         29        
2156       contamin        1         
2157       contempl        5         
2158       contemporari    6         
2159       contempt        1         
2160       contend         2         
2161       content         7         
2162       contest         4         
2163       contin          4         
2164       continent       1         
2165       continu         40        
2166       contort         1         
2167       contr           1         
2168       contract        14        
2169       contractor      4         
2170       contradict      2         
2171       contradictori   1         
2172       contrapt        1         
2173       contrast        1         
2174       contrit         1         
2175       control         49        
2176       controversi     6         
2177       conven          1         
2178       conveni         6         
2179       convent         4         
2180       converg         3         
2181       convers         2         
2182       convert         5         
2183       convict         20        
2184       convinc         35        
2185       convincingli    1         
2186       convoy          2         
2187       conway          2         
2188       cook            7         
2189       cooki           1         
2190       cool            6         
2191       coolant         1         
2192       coolblood       1         
2193       coolidg         1         
2194       coonass         1         
2195       coop            1         
2196       cooper          13        
2197       coordin         1         
2198       cop             41        
2199       cope            7         
2200       copeland        1         
2201       copenhagen      1         
2202       copi            3         
2203       copiou          1         
2204       coproduc        1         
2205       coralin         1         
2206       corden          1         
2207       core            4         
2208       corey           1         
2209       corki           1         
2210       corleon         2         
2211       corn            1         
2212       corneliu        1         
2213       corner          5         
2214       cornera         1         
2215       corni           1         
2216       corningston     1         
2217       cornish         1         
2218       cornwal         3         
2219       coron           1         
2220       coronari        1         
2221       corp            4         
2222       corpor          24        
2223       corporationgovern 1         
2224       corps           2         
2225       corral          1         
2226       correct         4         
2227       correspond      6         
2228       corrod          1         
2229       corrupt         30        
2230       cort            1         
2231       cortez          2         
2232       corusc          3         
2233       corvin          1         
2234       cosgrov         1         
2235       cosmet          1         
2236       cosmic          1         
2237       cosmo           1         
2238       cosmolog        1         
2239       cost            7         
2240       costar          2         
2241       costello        1         
2242       costigan        1         
2243       costli          1         
2244       costum          3         
2245       cottag          2         
2246       cotti           1         
2247       couch           3         
2248       coughlin        1         
2249       coulson         1         
2250       council         4         
2251       counsel         1         
2252       counselor       4         
2253       count           18        
2254       countdown       1         
2255       counter         3         
2256       counterfeit     1         
2257       counterpart     4         
2258       counterplan     1         
2259       counterterror   1         
2260       counterterrorist 1         
2261       countess        1         
2262       counti          7         
2263       countri         37        
2264       countrymen      1         
2265       countrysid      5         
2266       coup            3         
2267       coupl           40        
2268       courag          10        
2269       cours           30        
2270       court           23        
2271       courtesan       1         
2272       courtesi        1         
2273       courthous       1         
2274       courtney        2         
2275       courtprocess    1         
2276       courtroom       5         
2277       courtyard       2         
2278       cousin          18        
2279       coven           2         
2280       cover           16        
2281       coverag         2         
2282       covert          2         
2283       covertli        1         
2284       covertop        1         
2285       coverup         2         
2286       covet           3         
2287       cow             1         
2288       coward          2         
2289       cowboy          8         
2290       cowork          10        
2291       cox             2         
2292       coyot           1         
2293       cpa             1         
2294       cpo             2         
2295       cpt             1         
2296       cr              1         
2297       crab            1         
2298       crack           7         
2299       crackdown       1         
2300       cracker         1         
2301       crackpot        1         
2302       craft           1         
2303       crafti          1         
2304       craig           5         
2305       cram            1         
2306       crane           3         
2307       cranki          1         
2308       crap            1         
2309       crash           33        
2310       crashland       2         
2311       crate           1         
2312       crave           2         
2313       crawford        3         
2314       crawl           2         
2315       craze           4         
2316       crazi           17        
2317       cream           1         
2318       creasi          1         
2319       creat           36        
2320       creation        3         
2321       creativ         4         
2322       creator         5         
2323       creatur         31        
2324       credenc         1         
2325       credit          3         
2326       creditor        1         
2327       creed           2         
2328       creek           1         
2329       creep           1         
2330       creeper         1         
2331       creepi          1         
2332       crest           1         
2333       crete           1         
2334       crew            50        
2335       crewmat         1         
2336       crewmen         1         
2337       cri             2         
2338       crib            1         
2339       cricket         1         
2340       crime           74        
2341       crimefight      2         
2342       crimelord       1         
2343       crimin          51        
2344       criminologist   1         
2345       crippl          2         
2346       crise           1         
2347       crisi           9         
2348       crisp           1         
2349       cristal         1         
2350       cristo          1         
2351       critic          8         
2352       crittenden      1         
2353       crocodil        1         
2354       croft           1         
2355       croker          1         
2356       cromwel         2         
2357       croni           1         
2358       crook           6         
2359       croon           1         
2360       crop            4         
2361       crorepati       1         
2362       crosbi          1         
2363       cross           32        
2364       crossbow        1         
2365       crossbre        1         
2366       crosscountri    3         
2367       crossdress      1         
2368       crossfir        1         
2369       crossroad       2         
2370       crow            2         
2371       crowd           8         
2372       crown           6         
2373       crucial         2         
2374       crucifi         1         
2375       crucifixion     1         
2376       crude           1         
2377       cruel           11        
2378       cruelest        1         
2379       cruella         1         
2380       cruelti         4         
2381       cruis           8         
2382       cruiser         1         
2383       crumbl          4         
2384       crusad          7         
2385       crusadesa       1         
2386       crush           9         
2387       crusher         1         
2388       crushwho        1         
2389       crust           1         
2390       cruz            3         
2391       crybabi         1         
2392       cryogen         1         
2393       cryonic         1         
2394       cryostasi       1         
2395       cryptanalyst    1         
2396       cryptic         2         
2397       crystal         2         
2398       cs              2         
2399       csistyl         1         
2400       csm             1         
2401       ct              1         
2402       cte             1         
2403       cuba            5         
2404       cubanamerican   1         
2405       cube            2         
2406       cuchillo        1         
2407       cuisin          1         
2408       culinari        1         
2409       culkin          2         
2410       cullen          5         
2411       culmin          2         
2412       culpabl         1         
2413       culprit         3         
2414       cult            1         
2415       cultiv          1         
2416       cultur          15        
2417       cumali          1         
2418       cun             2         
2419       cup             3         
2420       curat           3         
2421       cure            9         
2422       curio           1         
2423       curios          3         
2424       curiou          9         
2425       curious         1         
2426       curli           2         
2427       curran          2         
2428       currenc         2         
2429       current         24        
2430       curs            16        
2431       curt            1         
2432       curtail         1         
2433       curti           4         
2434       curtin          1         
2435       curvier         1         
2436       cush            1         
2437       cusp            1         
2438       cuss            1         
2439       custer          1         
2440       custodi         7         
2441       custom          3         
2442       customari       1         
2443       cut             19        
2444       cute            5         
2445       cutest          1         
2446       cutler          2         
2447       cutthroat       3         
2448       cyber           3         
2449       cyberspac       1         
2450       cybertron       1         
2451       cyborg          5         
2452       cycl            1         
2453       cyclop          3         
2454       cynic           7         
2455       cynthia         1         
2456       cyo             1         
2457       cypher          1         
2458       cyril           1         
2459       cyru            1         
2460       czar            1         
2461       da              6         
2462       dad             20        
2463       daddario        1         
2464       dade            1         
2465       daesu           1         
2466       dafo            2         
2467       dagger          1         
2468       dagobah         1         
2469       dahlia          1         
2470       daili           9         
2471       daisi           3         
2472       dakota          1         
2473       daku            1         
2474       dale            3         
2475       daley           2         
2476       dalla           3         
2477       dalloway        1         
2478       dalma           1         
2479       dalmatian       1         
2480       dalton          2         
2481       dam             2         
2482       damag           10        
2483       damato          1         
2484       dame            3         
2485       damian          1         
2486       damien          1         
2487       damm            2         
2488       damn            3         
2489       damon           4         
2490       damp            1         
2491       dan             6         
2492       dana            4         
2493       danc            14        
2494       dancer          9         
2495       dane            1         
2496       dangelo         1         
2497       danger          79        
2498       dani            1         
2499       daniel          16        
2500       danilov         1         
2501       danish          1         
2502       danni           13        
2503       danson          1         
2504       dant            3         
2505       danver          1         
2506       daphn           3         
2507       darbi           1         
2508       darc            1         
2509       darci           2         
2510       daredevil       1         
2511       dargu           1         
2512       daringli        1         
2513       dark            49        
2514       darker          2         
2515       darkest         3         
2516       darkli          1         
2517       darkman         1         
2518       darko           1         
2519       darl            1         
2520       darla           1         
2521       darlingson      1         
2522       darrel          1         
2523       darri           1         
2524       darrow          1         
2525       darryl          1         
2526       dart            1         
2527       dartagnan       3         
2528       darth           5         
2529       darwin          1         
2530       dash            2         
2531       dashwood        1         
2532       dastardli       4         
2533       data            2         
2534       dater           1         
2535       daughter        102       
2536       daughterinlaw   1         
2537       daunt           4         
2538       dauntless       1         
2539       dave            5         
2540       davey           1         
2541       davi            9         
2542       davian          1         
2543       david           25        
2544       davidson        1         
2545       daw             1         
2546       dawg            1         
2547       dawn            11        
2548       dawson          2         
2549       day             195       
2550       daycar          1         
2551       dayl            1         
2552       daylewi         1         
2553       dayton          1         
2554       dazzlingli      1         
2555       dc              5         
2556       dea             4         
2557       deacon          4         
2558       deactiv         1         
2559       dead            59        
2560       deadend         1         
2561       deadit          1         
2562       deadlead        1         
2563       deadli          41        
2564       deadlier        2         
2565       deadliest       1         
2566       deadlin         1         
2567       deadpool        1         
2568       deaf            1         
2569       deal            66        
2570       dealer          25        
2571       dealership      2         
2572       dealt           1         
2573       dean            9         
2574       deanna          1         
2575       death           104       
2576       deathb          1         
2577       deathdefi       1         
2578       deathli         3         
2579       deathproof      1         
2580       debaucheri      1         
2581       debbi           4         
2582       debora          1         
2583       debra           1         
2584       debt            10        
2585       debut           2         
2586       decad           15        
2587       decadeslong     1         
2588       decadesold      1         
2589       decapit         1         
2590       decay           1         
2591       deceas          6         
2592       deceit          4         
2593       deceiv          1         
2594       decemb          3         
2595       decept          1         
2596       decepticon      2         
2597       decid           167       
2598       decidedli       3         
2599       decim           5         
2600       deciph          3         
2601       decis           20        
2602       deckard         3         
2603       decker          1         
2604       declar          8         
2605       declin          3         
2606       decobray        1         
2607       decod           2         
2608       decomiss        1         
2609       decommiss       1         
2610       decor           3         
2611       decorum         1         
2612       decoy           1         
2613       decrepit        1         
2614       dedic           7         
2615       deduc           1         
2616       deebo           1         
2617       deed            3         
2618       deem            1         
2619       deep            17        
2620       deepen          5         
2621       deeper          6         
2622       deepest         2         
2623       deepli          10        
2624       deeproot        2         
2625       deepwat         1         
2626       deer            2         
2627       default         1         
2628       defeat          21        
2629       defect          5         
2630       defenc          2         
2631       defend          25        
2632       defens          11        
2633       defenseless     1         
2634       defer           2         
2635       defi            3         
2636       defianc         1         
2637       defiant         1         
2638       defiantli       1         
2639       defin           2         
2640       definit         1         
2641       deflow          1         
2642       deform          2         
2643       defraud         1         
2644       defus           1         
2645       degener         1         
2646       degrad          2         
2647       degre           2         
2648       dehuman         1         
2649       deject          1         
2650       dejong          1         
2651       del             6         
2652       delaney         1         
2653       delarg          1         
2654       delay           3         
2655       delet           1         
2656       delhi           2         
2657       deliber         2         
2658       delic           1         
2659       delicatessen    1         
2660       delici          1         
2661       delight         6         
2662       delinqu         1         
2663       deliv           15        
2664       deliveri        2         
2665       delmar          1         
2666       delorean        2         
2667       delori          1         
2668       deloriss        1         
2669       delta           1         
2670       delud           2         
2671       delus           3         
2672       delv            2         
2673       demand          12        
2674       demarco         1         
2675       demeanor        4         
2676       dement          2         
2677       dementia        1         
2678       dementor        1         
2679       demi            1         
2680       demigod         2         
2681       demis           4         
2682       demo            1         
2683       democrat        2         
2684       demograph       1         
2685       demolit         1         
2686       demon           19        
2687       demonstr        1         
2688       demot           1         
2689       denbigh         1         
2690       denham          1         
2691       deni            5         
2692       denial          1         
2693       denis           1         
2694       deniz           1         
2695       denmark         1         
2696       denni           2         
2697       denounc         1         
2698       densiti         1         
2699       dent            5         
2700       dentist         4         
2701       denton          1         
2702       denzel          2         
2703       deon            1         
2704       depart          25        
2705       departur        5         
2706       depend          6         
2707       depict          7         
2708       deplet          1         
2709       deploy          3         
2710       deport          2         
2711       deposit         5         
2712       depp            3         
2713       deprav          1         
2714       depress         14        
2715       depressionera   1         
2716       depriv          1         
2717       dept            1         
2718       depth           5         
2719       deputi          8         
2720       der             1         
2721       derail          1         
2722       derang          1         
2723       derbi           1         
2724       derek           2         
2725       derelict        1         
2726       deric           1         
2727       derri           2         
2728       derringdo       1         
2729       descamisado     1         
2730       descend         9         
2731       desert          22        
2732       desertscap      1         
2733       deserv          2         
2734       design          13        
2735       desir           15        
2736       desjardin       1         
2737       deskbound       1         
2738       desmond         4         
2739       desol           3         
2740       despair         1         
2741       desper          36        
2742       despic          4         
2743       despis          4         
2744       despit          47        
2745       despond         1         
2746       despot          1         
2747       destabil        2         
2748       destin          5         
2749       destini         12        
2750       destivet        1         
2751       destro          1         
2752       destroy         68        
2753       destruct        20        
2754       det             3         
2755       detach          1         
2756       detain          2         
2757       detaine         1         
2758       detect          42        
2759       detector        1         
2760       detent          1         
2761       deterior        2         
2762       determin        44        
2763       detest          2         
2764       dethron         1         
2765       deton           4         
2766       detour          1         
2767       detox           1         
2768       detroit         4         
2769       deutschebank    1         
2770       devast          8         
2771       devastatingli   1         
2772       develop         30        
2773       developsand     1         
2774       devenir         1         
2775       devenu          1         
2776       deviant         1         
2777       devic           13        
2778       devil           6         
2779       devilish        1         
2780       devilworship    1         
2781       deviou          5         
2782       devis           8         
2783       devolv          1         
2784       devot           9         
2785       devote          1         
2786       devour          1         
2787       devout          4         
2788       dewald          1         
2789       dewey           2         
2790       dewitt          2         
2791       dexter          1         
2792       dfen            1         
2793       dhabi           1         
2794       diabol          2         
2795       diagnos         5         
2796       diagnosi        2         
2797       diametr         1         
2798       diamond         5         
2799       dian            1         
2800       diana           5         
2801       dianna          1         
2802       diari           7         
2803       dice            1         
2804       dick            5         
2805       dicken          1         
2806       dicki           2         
2807       dictat          5         
2808       dictum          2         
2809       didier          1         
2810       didnt           6         
2811       die             78        
2812       diecan          1         
2813       diego           7         
2814       dierdr          1         
2815       dietrichson     1         
2816       dif             1         
2817       differ          63        
2818       differentespeci 1         
2819       difficult       13        
2820       difficulti      10        
2821       diffrent        1         
2822       dig             6         
2823       diggler         1         
2824       digit           3         
2825       digniti         2         
2826       dil             1         
2827       dilapid         3         
2828       dilaurenti      1         
2829       dilbeck         1         
2830       dilemma         6         
2831       dilling         1         
2832       dim             3         
2833       dimaso          1         
2834       dimbulb         1         
2835       dimens          2         
2836       diminut         1         
2837       dimitri         1         
2838       dimwit          2         
2839       diner           5         
2840       dingi           1         
2841       dink            1         
2842       dinkl           1         
2843       dinner          6         
2844       dinosaur        4         
2845       dinozzo         1         
2846       diplomat        1         
2847       dire            2         
2848       direct          18        
2849       directli        5         
2850       director        28        
2851       directori       1         
2852       dirk            3         
2853       dirti           3         
2854       disabl          4         
2855       disadvantag     1         
2856       disagr          1         
2857       disagre         3         
2858       disappear       36        
2859       disappoint      5         
2860       disapprov       4         
2861       disarm          2         
2862       disarray        1         
2863       disast          15        
2864       disastr         4         
2865       disavow         3         
2866       disband         4         
2867       disbelief       1         
2868       disbeliev       1         
2869       disc            1         
2870       discharg        2         
2871       disciplin       1         
2872       disciplinari    1         
2873       disclos         6         
2874       disco           1         
2875       discomposur     1         
2876       disconnect      1         
2877       discont         1         
2878       discord         1         
2879       discov          179       
2880       discoveri       13        
2881       discrep         1         
2882       discuss         7         
2883       disdain         3         
2884       diseas          10        
2885       diseasebattl    1         
2886       disfigur        5         
2887       disfunct        1         
2888       disgrac         7         
2889       disguis         13        
2890       disgust         3         
2891       dishearten      1         
2892       dishonor        1         
2893       disillus        4         
2894       disintegr       1         
2895       disk            1         
2896       dislik          2         
2897       dismay          5         
2898       dismiss         3         
2899       disney          2         
2900       disobedi        2         
2901       disobey         1         
2902       disord          3         
2903       disown          2         
2904       dispar          2         
2905       dispassion      1         
2906       dispatch        2         
2907       display         3         
2908       dispos          4         
2909       disput          3         
2910       disregard       1         
2911       disrepair       1         
2912       disreput        1         
2913       disrupt         7         
2914       dissatisfi      1         
2915       dissert         1         
2916       dissip          1         
2917       dissolut        1         
2918       dissuad         1         
2919       distanc         6         
2920       distant         10        
2921       distilleri      1         
2922       distinct        1         
2923       distinctli      1         
2924       distinguish     2         
2925       distract        8         
2926       distraught      1         
2927       distress        2         
2928       distribut       2         
2929       district        12        
2930       distrust        2         
2931       disturb         9         
2932       disturbingli    1         
2933       ditch           5         
2934       ditsi           1         
2935       diva            1         
2936       dive            1         
2937       diverg          2         
2938       divers          3         
2939       divid           8         
2940       divin           2         
2941       divis           14        
2942       divorc          26        
2943       divorce         1         
2944       dixon           1         
2945       dizzi           1         
2946       dj              4         
2947       dna             7         
2948       doback          1         
2949       dobb            1         
2950       dobbi           1         
2951       dobisch         1         
2952       dobson          1         
2953       doc             4         
2954       dock            1         
