t_index    term            df        
357        angela          3         
358        angeleno        1         
359        angelesbas      1         
360        angelina        1         
361        angeliqu        1         
362        angelov         1         
363        anger           6         
364        angi            1         
365        angier          1         
366        angl            1         
367        anglerfish      1         
368        angri           9         
369        angrili         1         
370        angst           1         
371        ani             76        
372        anim            32        
373        animos          1         
374        aniston         2         
375        anita           1         
376        ann             9         
377        anna            14        
378        annabel         1         
379        annabella       1         
380        annabeth        1         
381        annal           1         
382        annella         1         
383        annett          2         
384        anni            8         
385        annihil         7         
386        anniversari     2         
387        announc         11        
388        annoy           5         
389        annual          10        
390        anomali         1         
391        anoth           75        
392        ans             1         
393        answer          17        
394        ant             2         
395        antarctica      1         
396        antartica       1         
397        antholog        1         
398        anthoni         4         
399        anthonymitzi    1         
400        antic           4         
401        anticip         3         
402        antidot         1         
403        antihero        1         
404        antikil         1         
405        antimut         1         
406        antipathi       1         
407        antiqu          2         
408        antivillain     1         
409        antman          1         
410        antoin          2         
411        antoinett       1         
412        anton           1         
413        antonio         1         
414        anubi           1         
415        anxiou          1         
416        anxious         1         
417        anybodi         3         
418        anymor          1         
419        anyon           20        
420        anyplac         1         
421        anyth           27        
422        anywher         1         
423        ape             5         
424        apocalyps       6         
425        apocalypt       1         
426        apollo          3         
427        apolog          2         
428        apostl          1         
429        appal           1         
430        appar           23        
431        apparit         1         
432        appeal          2         
433        appeas          1         
434        appetit         3         
435        appl            2         
436        appli           4         
437        applianc        1         
438        applic          1         
439        appoint         6         
440        appreci         5         
441        apprehend       5         
442        apprentic       1         
443        apprentissag    1         
444        approach        21        
445        appropri        3         
446        approv          4         
447        april           6         
448        aquaman         1         
449        arab            4         
450        arabia          2         
451        arabian         1         
452        aragorn         3         
453        arami           3         
454        aranha          1         
455        arbitrari       1         
456        arbitrarili     1         
457        arbor           1         
458        arcad           2         
459        archaeolog      2         
460        archaeologist   2         
461        archangel       1         
462        archdeacon      1         
463        archenemi       2         
464        archeolog       1         
465        archer          8         
466        archi           2         
467        archibald       1         
468        architect       4         
