t_indexterm           df 
363    artisttyp      1  
364    arya           1  
365    aryan          1  
366    asajj          1  
367    ascend         1  
368    ascens         1  
369    ascent         1  
370    asgard         2  
371    asgardian      1  
372    ash            1  
373    ashburn        1  
374    ashecliff      1  
375    asher          1  
376    ashitaka       1  
377    ashor          1  
378    ashton         1  
379    asia           1  
380    ask            9  
381    asleep         1  
382    aspen          1  
383    asperg         1  
384    aspir          11 
385    assail         1  
386    assassin       11 
387    assault        1  
388    assembl        1  
389    assert         1  
390    assign         14 
391    assist         9  
392    associ         4  
393    assum          5  
394    asteroid       1  
395    astonish       2  
396    astronaut      7  
397    astronom       2  
398    asylum         1  
399    atat           1  
400    athen          1  
401    athlet         4  
402    atho           3  
403    atlant         2  
404    atlanta        1  
405    atmospher      2  
406    atom           1  
407    attach         2  
408    attack         23 
409    attempt        26 
410    attend         11 
411    attent         2  
412    attic          1  
413    atticu         1  
414    atting         1  
415    attir          1  
416    attitud        1  
417    attorney       6  
418    attorneyleav   1  
419    attract        4  
420    aubrey         1  
421    auckland       1  
422    audienc        4  
423    audit          2  
424    auggi          1  
425    august         1  
426    augustu        1  
427    aunt           8  
428    aureliu        1  
429    auriga         1  
430    austin         5  
431    australia      3  
432    australian     3  
433    austrian       2  
434    author         6  
435    auto           4  
436    autobiograph   1  
437    autobiographi  1  
438    autobot        2  
439    automat        2  
440    autumn         2  
441    avalanch       1  
442    avalon         1  
443    avatar         1  
444    aveng          3  
445    avenu          1  
446    averag         5  
447    avert          2  
448    aviat          2  
449    avid           1  
450    avner          1  
451    avoid          6  
452    await          2  
453    awak           2  
454    awaken         6  
455    awar           2  
456    award          3  
457    awardwin       1  
458    awasthi        1  
459    away           28 
460    awesom         3  
461    awkward        3  
462    awol           1  
463    axel           1  
464    aykroyd        1  
465    azad           1  
466    azeem          1  
467    babe           1  
468    babi           14 
469    babita         1  
470    babylon        1  
471    baca           1  
472    back           64 
473    backdrop       6  
474    backfir        1  
475    background     5  
476    backpack       1  
477    backseat       1  
478    backstag       1  
479    backstreet     1  
480    backward       1  
481    backwood       1  
482    bad            10 
483    badass         1  
484    badassembl     1  
485    baddest        1  
486    baddi          1  
487    badli          2  
488    baffl          1  
489    bafflingli     1  
490    bag            2  
491    baggag         1  
492    baggin         2  
493    bailey         1  
494    baker          4  
495    balanc         1  
496    balboa         2  
497    baldwin        2  
498    bale           2  
499    balian         1  
500    balkan         1  
501    ball           2  
502    ballerina      1  
503    ballet         2  
504    ballsout       2  
505    balmor         1  
506    baltimor       1  
507    ban            3  
508    bana           1  
509    band           10 
510    bandersnatch   1  
511    bandit         2  
512    bane           1  
513    banega         1  
514    bang           1  
515    bangkok        1  
516    banish         1  
517    bank           15 
518    banker         5  
519    bankrupt       2  
520    banner         2  
521    bannist        1  
522    bannock        1  
523    bar            8  
524    baran          1  
525    barbar         1  
526    barbara        2  
527    barber         2  
528    barbossa       1  
529    barclay        1  
530    barden         1  
531    bare           6  
532    bargain        1  
533    barish         1  
534    barker         1  
535    barnaba        1  
536    barney         1  
537    barnum         2  
538    barri          7  
539    barrier        2  
540    barrist        1  
541    barrymor       1  
542    bartholomew    1  
543    barton         1  
544    baruchel       1  
545    base           43 
546    basebal        2  
547    basement       1  
548    basi           1  
549    basic          1  
550    basketbal      6  
551    bast           1  
552    basterd        1  
553    bat            1  
554    bateman        2  
555    batf           1  
556    bathtub        1  
557    batman         5  
558    battalion      3  
559    battalionth    1  
560    batter         1  
561    battl          20 
562    battleground   1  
563    battleship     2  
564    bau            1  
565    baudelair      1  
566    baum           1  
567    baxter         2  
568    bay            1  
569    baylor         1  
570    baymax         1  
571    bb             1  
572    bc             2  
573    be             5  
574    beach          7  
575    beachhead      1  
576    beachum        1  
577    bean           4  
578    beani          1  
579    bear           4  
580    beast          3  
581    beat           3  
582    beaten         1  
583    beatl          2  
584    beatric        1  
585    beaufort       1  
586    beaupr         1  
587    beauti         38 
588    beaver         2  
589    beca           1  
590    becam          3  
591    beckert        1  
592    beckett        1  
593    beckinsal      1  
594    becom          66 
595    bed            2  
596    bedford        1  
597    bedouin        1  
598    bedraggl       1  
599    bedridden      1  
600    bedridg        1  
601    bedtim         1  
602    bee            1  
603    beer           1  
604    beeri          1  
605    beete          1  
606    befal          1  
607    befor          1  
