(737, 159.6519647627004)
(2847, 157.74294054853826)
(611, 153.83649619817925)
(2518, 147.78414164282017)
(1045, 146.65135753119037)
(1081, 137.8777446554651)
(241, 135.79867451953538)
(1748, 135.79867451953538)
(2099, 135.79867451953538)
(2122, 135.79867451953538)
(87, 135.79867451953535)
(2590, 130.82656583558412)
(3620, 127.78828284290917)
(3081, 125.21595272712223)
(495, 121.32497971491354)
(1386, 121.32497971491354)
(1144, 113.59256362571351)
(2058, 113.59256362571351)
(3244, 113.5925636257135)
(1894, 111.12421651354184)
(2437, 109.62480568061986)
(3374, 106.56850583346039)
(3634, 106.1257038554119)
(2534, 105.71514730982433)
(2489, 105.2310139283052)
(1079, 102.18546132172094)
(3154, 100.15637701256688)
(2261, 100.15637701256686)
(3491, 99.52789483346261)
(770, 99.28773463198476)
(275, 98.97198350588903)
(1455, 98.97198350588903)
(2438, 98.97198350588903)
(2865, 98.97198350588903)
(2870, 98.97198350588903)
(3621, 98.97198350588903)
(2871, 98.62175915701573)
(2977, 97.98241624074932)
(914, 96.82457283820628)
(1198, 95.987238927526)
(2201, 95.64902117594484)
(2283, 95.34649206359774)
(1823, 93.46602036272469)
(2521, 91.93609131182703)
(1456, 91.85575839118708)
(627, 91.59218344749223)
(471, 91.45309370996058)
(3071, 90.34488610406162)
(574, 90.11974581233414)
(2492, 90.11974581233414)
(2380, 90.11974581233413)
(436, 89.11405889016186)
(3462, 88.99953825497917)
(53, 88.99953825497916)
(86, 88.99953825497916)
(1482, 88.99953825497916)
(784, 88.56407406686992)
(3370, 87.03820386586833)
(893, 86.80769241718264)
(2799, 85.98682160918571)
(2440, 85.90782249967252)
(2801, 85.82759429864336)
(2718, 83.56396194348382)
(475, 83.38386965603594)
(3007, 83.09596828166718)
(2478, 82.90436946165012)
(1346, 82.63423289239135)
(2728, 82.22815740732311)
(2457, 81.9836864753335)
(523, 81.98368647533349)
(3707, 81.63916391647906)
(2660, 81.36901484375652)
(644, 81.27266980683764)
(3734, 80.83598758282056)
(2835, 80.78733683554506)
(442, 80.52488025750328)
(2085, 79.83102870954121)
(228, 79.74289835017377)
(130, 79.53314370208786)
(2009, 79.53314370208786)
(972, 79.53314370208784)
(1843, 79.53314370208784)
(1852, 79.53314370208784)
(3640, 79.53314370208784)
(1966, 79.48935330080067)
(2484, 79.2529792958791)
(2137, 78.90713004578095)
(3614, 78.38295308692317)
(2095, 78.13555044459446)
(2303, 78.01401110901347)
(2924, 77.78072320943593)
(1680, 77.71692931939329)
(2076, 77.71692931939329)
(1866, 77.63368348641127)
(3663, 77.61254266003905)
(933, 77.174684959318)
(3181, 77.04442911493616)
(1160, 76.8726746866163)
(1565, 76.59180976990568)
(708, 75.93982075748201)
(1454, 75.70086518260098)
(3125, 75.31145889765726)
(1249, 75.18897769571362)
(2722, 75.12062125050588)
(2946, 74.74689386797814)
(2460, 74.34967244854838)
(2909, 74.21704129970846)
(64, 74.06027988239596)
(3207, 74.06027988239596)
(1695, 73.79052089791344)
(536, 73.13702852676023)
(1610, 72.92964143958909)
(1987, 72.90630850089853)
(3699, 72.36217102682163)
(1898, 72.21526127772007)
(2093, 72.13658346681616)
(672, 72.06497723467297)
(857, 71.72422894252225)
(3499, 71.34924113332923)
(3115, 71.33683625164522)
(2953, 71.31197648467537)
(752, 70.8056538603073)
(122, 70.57475470864802)
(1584, 70.47009548003268)
(3636, 70.47009548003268)
(60, 70.47009548003267)
(307, 70.47009548003267)
(571, 70.47009548003267)
(602, 70.47009548003267)
(640, 70.47009548003267)
(767, 70.47009548003267)
(1766, 70.47009548003267)
(1797, 70.47009548003267)
(2033, 70.47009548003267)
(2866, 70.47009548003267)
(3287, 70.47009548003267)
(1063, 70.47009548003265)
(2827, 70.46421458581548)
(3088, 70.45881872078762)
(3468, 69.9152148124005)
(3439, 69.77788176174654)
(899, 69.31166598606674)
(3698, 69.15724269170762)
(2926, 68.95550580357047)
(879, 68.75936910308499)
(2193, 68.50804644854166)
(379, 68.41757760818248)
(1889, 68.41757760818247)
(145, 68.15820426562045)
(2860, 68.078336393083)
(3047, 68.04914214858006)
(937, 67.96327864605414)
(367, 67.81265694424154)
(3145, 67.35385144130393)
(1681, 67.24273224185997)
(21, 66.7900756896991)
(1447, 66.06459824207252)
(182, 65.92735360960094)
(2154, 65.88290306627067)
(1104, 65.80487683066697)
(26, 65.3382590765801)
(1338, 65.0176635776719)
(3276, 65.00391173331684)
(3457, 64.97516827983435)
(2064, 64.91258308433572)
(3222, 64.91043435004897)
(2811, 64.48577836632175)
(2461, 64.48577836632174)
(3777, 64.48577836632174)
(1590, 64.24876037394871)
(797, 64.21686341015483)
(2246, 63.22491998643294)
(1729, 61.95263874831197)
(1257, 61.742507265129575)
(1507, 61.742507265129575)
(2020, 61.742507265129575)
(2769, 61.742507265129575)
(3595, 61.742507265129575)
(1884, 61.74250726512957)
(2323, 61.74250726512957)
(2856, 61.742507265129554)
(2932, 61.742507265129554)
(643, 61.74250726512955)
(1691, 61.74250726512955)
(3709, 61.74250726512955)
(2251, 61.74250726512954)
(3240, 61.74250726512954)
(3274, 61.660601442709265)
(1721, 61.108255464770274)
(2665, 60.95223296670122)
(2699, 60.93765755121302)
(577, 60.661325708126604)
(1875, 60.6613257081266)
(943, 60.45310287747863)
(3778, 60.45310287747863)
(2389, 60.289472316127295)
(3194, 59.93871768617101)
(2543, 59.87142549557632)
(2616, 59.7417675268559)
(3290, 59.6695505361442)
(2107, 59.623114282092885)
(1290, 59.24988790015598)
(2930, 59.07996585013559)
(851, 58.89401302999388)
(1638, 58.76345518906664)
(3681, 58.715701908902794)
(2421, 58.61151316413722)
(1778, 58.22015369186728)
(764, 58.147150595716354)
(2604, 57.87477566829061)
(733, 57.83997705715163)
(1957, 57.52110872106318)
(803, 57.4911371997727)
(1084, 57.45791266946982)
(1385, 57.45791266946982)
(2917, 57.45610717317834)
(1692, 57.442438989411805)
(2005, 57.42766656156731)
(452, 57.34363144637612)
(374, 57.31783395536535)
(1762, 57.317833955365344)
(1263, 57.30842150114297)
(584, 57.26248848437121)
(3764, 56.76008016431253)
(1055, 56.26506537478166)
(688, 56.21468355231499)
(1854, 56.21468355231499)
(2879, 56.21468355231499)
(176, 56.21468355231498)
(456, 56.21468355231498)
(2725, 56.21468355231498)
(3429, 56.21468355231498)
(3590, 56.21468355231498)
(560, 56.21468355231497)
(2105, 56.21468355231497)
(2888, 56.21468355231497)
(222, 56.214683552314966)
(2753, 56.128052554569585)
(2608, 56.042149445782734)
(2120, 55.929695994172846)
(2420, 55.929695994172846)
(2960, 55.92969599417283)
(3263, 55.82202473817303)
(1107, 55.76429986835494)
(163, 55.570053270779766)
(3217, 55.33005292191053)
(1336, 55.06008764451393)
(3643, 54.96697284357254)
(2839, 54.768579068889146)
(864, 54.611765257258796)
(2723, 54.611765257258796)
(3720, 54.32372808647668)
(1876, 54.17120709255463)
(1052, 53.867663510602746)
(1362, 53.867663510602746)
(3717, 53.78534010073639)
(3022, 53.6679694442149)
(1451, 53.53026593492035)
(1587, 53.32427758918597)
(2878, 53.30211074828508)
(3267, 53.30211074828508)
(189, 53.302110748285074)
(845, 53.302110748285074)
(1481, 53.302110748285074)
(1931, 53.302110748285074)
(2944, 53.302110748285074)
(710, 53.30211074828507)
(775, 53.30211074828507)
(829, 53.30211074828507)
(978, 53.30211074828507)
(1119, 53.30211074828507)
(1145, 53.30211074828507)
(1488, 53.30211074828507)
(1749, 53.30211074828507)
(2672, 53.30211074828507)
(3258, 53.30211074828507)
(2376, 53.30211074828506)
(2861, 53.30211074828506)
(3437, 53.30211074828506)
(3561, 53.30211074828506)
(512, 53.10763733217682)
(1583, 53.09941546123699)
(302, 52.942889452621536)
(364, 52.779750687569354)
(565, 52.779750687569354)
(3259, 52.779750687569354)
(3417, 52.72521818237445)
(831, 52.725218182374434)
(2634, 52.31090209043115)
(123, 52.019947219811144)
(3659, 51.94668115290081)
(878, 51.825123625248914)
(2506, 51.79853019071802)
(274, 51.78110366349873)
(292, 51.78110366349873)
(3286, 51.78110366349873)
(1608, 51.75921325988185)
(58, 51.60911812732508)
(589, 51.43106955803974)
(2570, 51.39473864297327)
(8, 51.34874977471157)
(1420, 51.23516805117352)
(588, 51.12682234304733)
(2232, 51.04007001110857)
(1281, 50.96211288646819)
(2720, 50.90531765078742)
(2967, 50.809515080176446)
(217, 50.4382192660545)
(89, 50.4314728340765)
(173, 50.4314728340765)
(1559, 50.4314728340765)
(3388, 50.31451818737803)
(253, 50.27458277204541)
(1602, 50.27037698061853)
(3017, 50.27037698061852)
(1886, 50.20654716216022)
(482, 49.999794209976706)
(2927, 49.359969022965615)
(792, 49.297070458872895)
(2053, 49.297070458872895)
(2529, 49.26352571520646)
(1988, 49.21675841845812)
(1280, 49.198999645521724)
(546, 49.19136801137758)
(895, 49.12135993377152)
(121, 49.10005386574543)
(1416, 48.96658984636606)
(1925, 48.727780963721706)
(2587, 48.66327918011729)
(190, 48.52855639228973)
(1833, 48.458233566859974)
(1742, 48.45823356685997)
(69, 48.45823356685996)
(1887, 48.286727724105745)
(29, 48.286727724105724)
(1789, 48.286727724105724)
(2815, 48.286727724105724)
(522, 48.245564714515666)
(714, 47.87868691046899)
(2211, 47.85898728658494)
(2685, 47.78196280977033)
(3563, 47.590687226272244)
(1112, 47.56240521047178)
(465, 47.50345527486476)
(3635, 47.463701503595665)
(81, 47.3062057204472)
(2210, 47.12757975374073)
(2098, 47.08561988250083)
(1502, 46.69252812821765)
(3742, 46.485520459425985)
(430, 46.42411504716455)
(1763, 46.289021870939685)
(2626, 46.28902187093968)
