(275, 75.14806359884355)
(2261, 72.006687775239)
(972, 59.79104565215579)
(1852, 59.79104565215579)
(2847, 48.477580339786094)
(2251, 46.036441189953926)
(3240, 46.036441189953926)
(2660, 40.10250327741452)
(2878, 39.59720844961142)
(3267, 39.59720844961142)
(2909, 37.1473726516534)
(650, 33.39799250630208)
(971, 33.39799250630208)
(367, 28.674943823243407)
(676, 27.41087624569114)
(1620, 27.41087624569114)
(2751, 27.41087624569114)
(2913, 27.41087624569114)
(2305, 27.139134504323557)
(388, 22.11256963824995)
(1198, 22.028020156542365)
(1700, 21.613568294546507)
(2250, 21.613568294546507)
(1565, 19.721909452044834)
(3181, 19.029089121560972)
(923, 18.73442670500789)
(2200, 18.73442670500789)
(792, 17.456635095047233)
(2220, 17.269340309828685)
(2661, 17.152928163192502)
(512, 16.76116949737)
(685, 16.72849832250706)
(3721, 16.72849832250706)
(2276, 15.987858543038824)
(3246, 15.987858543038824)
(2860, 15.07464565235689)
(17, 14.213953679783122)
(1318, 14.213953679783122)
(2330, 14.213953679783122)
(823, 14.108017871527366)
(3081, 93.44869654371398)
(1843, 59.79104565215579)
(3640, 59.79104565215579)
(2309, 53.794136977974475)
(307, 52.75167281622077)
(3777, 46.315772861237036)
(688, 39.83397571759848)
(3778, 39.45399903737991)
(3222, 37.1473726516534)
(2960, 36.181837727332)
(625, 33.39799250630208)
(2959, 33.39799250630208)
(2961, 33.39799250630208)
(2052, 27.41087624569114)
(2523, 23.737440702669822)
(1083, 22.23588555888919)
(959, 21.613568294546507)
(1081, 21.449635466422055)
(2570, 21.03807642377979)
(1774, 20.332375512635284)
(3643, 20.062937098988417)
(876, 19.580854577134154)
(2841, 19.252548985927948)
(3734, 18.902512325422016)
(1894, 17.838792628647056)
(2677, 17.152928163192502)
(354, 15.987858543038824)
(736, 15.987858543038824)
(2197, 15.987858543038824)
(2655, 15.987858543038824)
(2697, 15.987858543038824)
(3029, 15.987858543038824)
(890, 15.482852599566884)
(588, 15.07464565235689)
(2195, 14.213953679783122)
(2587, 14.108017871527366)
(353, 14.096049329250972)
(2481, 14.096049329250972)
(2794, 14.096049329250972)
(1336, 13.402718665623688)
(1079, 74.34779324253755)
(1045, 57.62033176883756)
(523, 57.28705235296515)
(2076, 56.14832161311113)
(2866, 52.75167281622077)
(442, 50.37587513449162)
(1866, 50.00265516568897)
(643, 46.036441189953926)
(577, 42.45248933365908)
(1854, 39.83397571759848)
(2879, 39.83397571759848)
(1481, 39.59720844961142)
(943, 39.45399903737991)
(937, 37.1473726516534)
(2590, 34.71100283742761)
(521, 33.39799250630208)
(1364, 33.39799250630208)
(2027, 33.39799250630208)
(803, 33.376286501444284)
(2722, 32.628725112121465)
(2723, 31.068691847487447)
(1833, 30.237389852830294)
(2665, 30.154833500950748)
(274, 29.100014847588426)
(3286, 29.100014847588426)
(1898, 27.96960086359089)
(3231, 27.754209889262825)
(3722, 27.754209889262825)
(2248, 27.642984164254052)
(84, 27.41087624569114)
(1319, 27.41087624569114)
(1430, 27.41087624569114)
(2834, 27.41087624569114)
(3732, 27.41087624569114)
(522, 27.139134504323557)
(436, 26.062178287435298)
(644, 25.970091339281236)
(2211, 25.528328580688665)
(1151, 24.596856764837145)
(2205, 24.596856764837145)
(2380, 63.731290892005816)
(602, 52.75167281622077)
(3287, 52.75167281622077)
(64, 47.57041877175014)
(1691, 46.036441189953926)
(3709, 46.036441189953926)
(2725, 39.83397571759848)
(189, 39.59720844961142)
(2953, 38.955336625270625)
(1249, 35.50871254584893)
(3707, 34.71466636310582)
(29, 33.65609336046849)
(2815, 33.65609336046849)
(378, 33.39799250630208)
(1796, 33.39799250630208)
(1911, 33.39799250630208)
(2387, 33.39799250630208)
(2414, 33.39799250630208)
(611, 33.26598222670786)
(674, 27.754209889262825)
(2196, 27.754209889262825)
(1149, 27.41087624569114)
(2091, 24.596856764837145)
(1610, 24.139968356442516)
(2720, 23.737440702669822)
(2080, 22.23588555888919)
(70, 22.11256963824995)
(1487, 22.11256963824995)
(1370, 21.613568294546507)
(1604, 21.613568294546507)
(1783, 21.613568294546507)
(2097, 21.613568294546507)
(2891, 21.613568294546507)
(3531, 21.613568294546507)
(1681, 20.809765475520717)
(1333, 19.252548985927948)
(1171, 18.469683353269303)
(1346, 17.838792628647056)
(2799, 17.456635095047233)
(2012, 17.357677731628517)
(2870, 75.14806359884355)
(1456, 68.1302899142767)
(3462, 67.22231789564738)
(2440, 60.235995522841975)
(3071, 60.235995522841975)
(130, 59.79104565215579)
(2009, 59.79104565215579)
(536, 53.144000159860575)
(60, 52.75167281622077)
(2033, 52.75167281622077)
(2461, 46.315772861237036)
(2856, 46.036441189953926)
(2932, 46.036441189953926)
(2460, 45.17169962621239)
(3429, 39.83397571759848)
(845, 39.59720844961142)
(1931, 39.59720844961142)
(2944, 39.59720844961142)
(2303, 35.84063236817367)
(1789, 33.65609336046849)
(1493, 33.39799250630208)
(1579, 33.39799250630208)
(2023, 33.39799250630208)
(2059, 33.39799250630208)
(2139, 33.39799250630208)
(3605, 33.39799250630208)
(292, 29.100014847588426)
(1014, 27.642984164254052)
(1080, 27.41087624569114)
(2939, 27.41087624569114)
(2962, 27.41087624569114)
(3159, 27.41087624569114)
(3771, 27.41087624569114)
(3720, 27.139134504323557)
(2518, 23.588432756456225)
(1960, 22.182902607410274)
(3119, 22.11256963824995)
(878, 22.090444081543435)
(143, 21.613568294546507)
(281, 21.613568294546507)
(2590, 50.88906896751088)
(1987, 45.91149814373182)
(1045, 39.740054155723584)
(1488, 39.59720844961142)
(3699, 37.1473726516534)
(2365, 33.39799250630208)
(436, 32.48463317598447)
(1132, 27.41087624569114)
(3439, 24.479869328012942)
(1263, 22.917728516138716)
(2717, 22.11256963824995)
(2988, 22.11256963824995)
(908, 21.613568294546507)
(3488, 21.613568294546507)
(1681, 20.809765475520717)
(383, 20.332375512635284)
(644, 20.062937098988417)
(3017, 19.580854577134154)
(2832, 19.252548985927948)
(58, 18.73442670500789)
(3230, 17.357677731628517)
