tt0109830
movie_id       cosine_similarity   
tt0105112      0.450270            
tt1204975      0.450270            
tt0243655      0.450270            
tt0040897      0.450270            
tt0126886      0.450270            
tt0286716      0.450270            
tt0090605      0.450270            
tt0243155      0.450270            
tt0121765      0.450270            
tt0443453      0.450270            
tt0107131      0.450270            
tt0110364      0.450270            
tt0450259      0.450270            
tt0143145      0.450270            
tt0435625      0.450270            
tt0343818      0.450270            
tt0120815      0.450270            
tt0253754      0.450270            
tt1951264      0.450270            
tt0118849      0.450270            
tt0120783      0.450270            
tt0114814      0.450270            
tt0101700      0.450270            
tt0377092      0.450270            
tt0102768      0.450270            
tt1259521      0.450270            
tt2084970      0.450270            
tt0108399      0.450270            
tt0017136      0.450270            
tt2356777      0.450270            
tt0215750      0.450270            
tt0082096      0.450270            
tt0408985      0.450270            
tt0107822      0.450270            
tt1120985      0.450270            
tt0018455      0.450270            
tt0499448      0.450270            
tt0133152      0.450270            
tt1289401      0.450270            
tt2101441      0.450270            
tt0475784      0.450270            
tt1536537      0.450270            
tt0113957      0.450270            
tt0100507      0.450270            
tt0302886      0.450270            
tt0460681      0.450270            
tt3011894      0.450270            
tt0114319      0.450270            
tt3748528      0.450270            
tt0107207      0.450270            
tt0120363      0.450270            
tt0109707      0.450270            
tt0103893      0.450270            
tt1217209      0.450270            
tt0116126      0.450270            
tt0140352      0.450270            
tt0406375      0.450270            
tt0120794      0.450270            
tt3659388      0.450270            
tt0160127      0.450270            
tt0103772      0.450270            
tt0099810      0.450270            
tt0116705      0.450270            
tt0298148      0.450270            
tt0351283      0.450270            
tt0102744      0.450270            
tt1298650      0.450270            
tt1187064      0.450270            
tt0149261      0.450270            
tt0106977      0.450270            
tt0452594      0.450270            
tt2660888      0.450270            
tt0103064      0.450270            
tt0959337      0.450270            
tt0295700      0.450270            
tt0107048      0.450270            
tt0416320      0.450270            
tt0353969      0.450270            
tt0405159      0.450270            
tt1781769      0.450270            
tt0337741      0.450270            
tt0120828      0.450270            
tt0120903      0.450270            
tt0232500      0.450270            
tt0113442      0.450270            
tt0396171      0.450270            
tt0458352      0.450270            
tt1392190      0.450270            
tt0458339      0.450270            
tt0110322      0.450270            
tt0324216      0.450270            
tt0382625      0.450270            
tt0101545      0.450270            
tt0360486      0.450270            
tt0129290      0.450270            
tt1228705      0.450270            
tt1430132      0.450270            
tt0133093      0.450270            
tt0103241      0.450270            
tt0230011      0.450270            
tt0887912      0.450270            
tt0376994      0.450270            
tt0101889      0.450270            
tt0106582      0.450270            
tt1591095      0.450270            
tt5439796      0.450270            
tt0408236      0.450270            
tt0117218      0.450270            
tt1355644      0.450270            
tt5580390      0.450270            
